GEOID,Name,Short Name,Primary County GEOID,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
02008,"Americus, GA Urban Area","Americus, GA",13261,17216,7654,10.979,0.06,32.077399,-84.219732
02062,"Ames, IA Urban Area","Ames, IA",19169,65725,27550,22.357,0.081,42.02461,-93.629124
02103,"Amherst Town--Northampton--Easthampton Town, MA Urban Area","Amherst Town, MA",25015,84946,34870,54.652,0.668,42.275255,-72.653406
02143,"Amory, MS Urban Area","Amory, MS",28095,6304,3078,5.606,0.011,33.983635,-88.478932
02170,"Amsterdam, NY Urban Area","Amsterdam, NY",36057,21395,10986,10.055,0.325,42.952606,-74.192053
02197,"Anaconda-Deer Lodge County, MT Urban Area","Anaconda, MT",30023,6664,3928,2.61,0.0,46.132279,-112.96175
02224,"Anacortes, WA Urban Area","Anacortes, WA",53057,18693,9037,9.858,0.351,48.491868,-122.639049
02251,"Anadarko, OK Urban Area","Anadarko, OK",40015,4970,2189,2.105,0.0,35.071102,-98.24162
02278,"Anamosa, IA Urban Area","Anamosa, IA",19105,5434,2059,2.647,0.003,42.110052,-91.27386
02305,"Anchorage, AK Urban Area","Anchorage, AK",02020,249129,102702,91.689,1.072,61.169584,-149.854154
02332,"Anchorage Northeast, AK Urban Area","Anchorage Northeast, AK",02020,29158,11743,17.683,0.184,61.325491,-149.537602
02359,"Andalusia, AL Urban Area","Andalusia, AL",01039,6085,3207,6.863,0.04,31.305196,-86.479475
02386,"Anderson, IN Urban Area","Anderson, IN",18095,80252,37297,52.17,0.153,40.086247,-85.676223
02420,"Anderson--Clemson, SC Urban Area","Anderson, SC",45007,118281,51230,95.94,2.827,34.553063,-82.696322
02467,"Andrews, TX Urban Area","Andrews, TX",48003,15156,5920,9.515,0.012,32.323743,-102.541184
02500,"Angleton, TX Urban Area","Angleton, TX",48039,20317,8863,10.948,0.019,29.170738,-95.428262
02548,"Angola, IN Urban Area","Angola, IN",18151,13037,6938,12.428,2.279,41.670453,-85.030874
02575,"Anna, IL Urban Area","Anna, IL",17181,6068,2858,4.429,0.022,37.461878,-89.248104
02602,"Ann Arbor, MI Urban Area","Ann Arbor, MI",26161,314278,137848,143.455,5.152,42.237327,-83.649391
02629,"Anniston--Oxford, AL Urban Area","Anniston, AL",01015,78285,36090,78.896,0.428,33.668326,-85.833914
02656,"Antigo, WI Urban Area","Antigo, WI",55067,8258,4448,4.848,0.046,45.142639,-89.153197
02683,"Antioch, CA Urban Area","Antioch, CA",06013,327263,105608,73.347,0.787,37.985757,-121.79064
02764,"Appleton, WI Urban Area","Appleton, WI",55087,232870,100324,107.775,4.116,44.250467,-88.409398
02791,"Arab, AL Urban Area","Arab, AL",01095,7809,3257,8.695,0.108,34.330357,-86.500846
02818,"Aransas Pass--Port Aransas--Ingleside, TX Urban Area","Aransas Pass, TX",48409,22569,14660,24.644,0.221,27.901076,-97.153623
02912,"Arcadia, FL Urban Area","Arcadia, FL",12027,16242,7586,10.004,0.006,27.208552,-81.852524
