GEOID,Name,Short Name,Primary County GEOID,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
23824,"Detroit, MI Urban Area","Detroit, MI",26125,3750464,1658714,1284.827,33.684,42.486581,-83.22742
23851,"Detroit Lakes, MN Urban Area","Detroit Lakes, MN",27005,10654,6038,9.202,9.93,46.782961,-95.842545
23878,"Devils Lake, ND Urban Area","Devils Lake, ND",38071,7367,3854,5.072,0.006,48.112591,-98.871116
23986,"DeWitt, IA Urban Area","DeWitt, IA",19045,4870,2005,4.004,0.0,41.820728,-90.539337
24008,"Dexter, MI Urban Area","Dexter, MI",26161,5462,2132,2.494,0.001,42.33548,-83.88877
24013,"Dexter, MO Urban Area","Dexter, MO",29207,9398,4371,7.744,0.094,36.792688,-89.973792
24040,"Diamondhead, MS Urban Area","Diamondhead, MS",28045,8956,4400,5.067,0.087,30.394333,-89.365506
24094,"Dickinson, ND Urban Area","Dickinson, ND",38089,25195,11874,12.258,0.077,46.892651,-102.788149
24121,"Dickson, TN Urban Area","Dickson, TN",47043,16183,6990,16.451,0.063,36.060236,-87.364102
24175,"Dillon, MT Urban Area","Dillon, MT",30001,4551,2134,2.747,0.0,45.226238,-112.632487
24202,"Dillon, SC Urban Area","Dillon, SC",45033,9040,4312,6.33,0.043,34.425884,-79.362661
24256,"Discovery Bay, CA Urban Area","Discovery Bay, CA",06013,15838,6335,4.202,1.112,37.905173,-121.606277
24283,"Dixon, CA Urban Area","Dixon, CA",06095,19071,6941,4.395,0.003,38.449389,-121.829238
24310,"Dixon, IL Urban Area","Dixon, IL",17103,16023,6794,7.817,0.385,41.841414,-89.480978
24337,"Dodge City, KS Urban Area","Dodge City, KS",20057,27623,9790,10.918,0.128,37.75868,-100.014881
24364,"Dodgeville, WI Urban Area","Dodgeville, WI",55049,4950,2488,3.255,0.0,42.965206,-90.130736
24391,"Donaldsonville, LA Urban Area","Donaldsonville, LA",22005,12267,5146,15.649,0.582,30.1091,-90.892665
24445,"Dos Palos, CA Urban Area","Dos Palos, CA",06047,8146,2599,2.293,0.0,36.975468,-120.633497
24472,"Dothan, AL Urban Area","Dothan, AL",01069,73964,34408,55.087,0.15,31.22612,-85.425301
24499,"Douglas, AZ Urban Area","Douglas, AZ",04003,15763,6394,5.481,0.0,31.351555,-109.542755
24526,"Douglas, GA Urban Area","Douglas, GA",13069,13842,6096,16.594,0.208,31.507796,-82.857974
24539,"Douglas, MI Urban Area","Douglas, MI",26005,3208,2678,4.232,0.541,42.653231,-86.196877
24553,"Douglas, WY Urban Area","Douglas, WY",56009,6583,3000,3.279,0.0,42.75634,-105.385329
24580,"Dover, DE Urban Area","Dover, DE",10001,126204,50230,72.304,1.036,39.146316,-75.548114
24607,"Dover--Rochester, NH--ME Urban Area","Dover, NH",33017,72912,34250,52.312,1.039,43.258739,-70.918667
24634,"Dowagiac, MI Urban Area","Dowagiac, MI",26027,6103,3176,3.557,0.047,41.983186,-86.108771
24715,"Dublin, GA Urban Area","Dublin, GA",13175,20147,8576,20.431,0.164,32.541185,-82.918763
24796,"DuBois, PA Urban Area","DuBois, PA",42033,11311,5639,7.159,0.055,41.121167,-78.765056
24823,"Dubuque, IA--IL Urban Area","Dubuque, IA",19061,69500,31794,34.167,0.088,42.503272,-90.699886
24850,"Duluth, MN--WI Urban Area","Duluth, MN",27137,120021,54999,66.866,4.947,46.766514,-92.127793
24877,"Dumas, AR Urban Area","Dumas, AR",05041,4117,2168,3.107,0.0,33.884012,-91.486732
24904,"Dumas, TX Urban Area","Dumas, TX",48341,14391,5686,4.937,0.0,35.864893,-101.965345
24931,"Duncan, OK Urban Area","Duncan, OK",40137,20377,9873,13.611,0.064,34.509608,-97.962631
24958,"Dundee, MI Urban Area","Dundee, MI",26115,5532,2724,3.901,0.037,41.961787,-83.661262
25012,"Dunkirk--Fredonia, NY Urban Area","Dunkirk, NY",36013,23412,11114,12.753,0.045,42.463071,-79.329028
25039,"Dunn, NC Urban Area","Dunn, NC",37085,14002,6590,11.111,0.053,35.317578,-78.636444
25093,"Du Quoin, IL Urban Area","Du Quoin, IL",17145,6040,3075,4.061,0.021,38.004412,-89.234301
25120,"Durand, MI Urban Area","Durand, MI",26155,5036,2215,3.78,0.048,42.919639,-83.991875
25147,"Durango, CO Urban Area","Durango, CO",08067,19222,9284,9.451,0.033,37.287672,-107.867815
25201,"Durant, OK Urban Area","Durant, OK",40013,20389,8744,12.006,0.016,33.992468,-96.398015
25216,"Durham, NH Urban Area","Durham, NH",33017,11605,2639,4.036,0.025,43.139235,-70.929903
25228,"Durham, NC Urban Area","Durham, NC",37063,399649,177635,183.355,1.307,35.966985,-78.937688
25237,"Duvall, WA Urban Area","Duvall, WA",53033,8485,2761,2.474,0.001,47.737654,-121.964426
25309,"Dyersburg, TN Urban Area","Dyersburg, TN",47045,16460,7730,12.976,0.088,36.045663,-89.383225
25390,"Eagle, CO Urban Area","Eagle, CO",08037,6793,2396,3.406,0.018,39.645064,-106.822397
25480,"Eagle Mountain, UT Urban Area","Eagle Mountain, UT",49049,11419,2910,2.021,0.0,40.309634,-112.011228
25498,"Eagle Pass, TX Urban Area","Eagle Pass, TX",48323,54354,18819,21.145,0.141,28.700079,-100.474047
25579,"Earlimart, CA Urban Area","Earlimart, CA",06107,7147,1828,1.35,0.0,35.883774,-119.270251
25598,"East Aurora, NY Urban Area","East Aurora, NY",36029,9535,4172,5.819,0.017,42.77019,-78.615811
25658,"East Hampton North--Springs--Northwest Harbor, NY Urban Area","East Hampton North, NY",36103,22083,16151,35.852,2.266,40.981411,-72.193604
25687,"East Liverpool, OH--WV--PA Urban Area","East Liverpool, OH",39029,21269,10782,15.526,0.629,40.644972,-80.578858
25714,"Eastman, GA Urban Area","Eastman, GA",13091,6446,2913,5.962,0.072,32.193868,-83.177877
25741,"Easton, MD Urban Area","Easton, MD",24041,18338,8434,11.15,0.133,38.770845,-76.070571
25768,"East Palestine, OH Urban Area","East Palestine, OH",39029,4546,2274,2.907,0.0,40.841613,-80.539724
25849,"East Stroudsburg--Stroudsburg, PA Urban Area","East Stroudsburg, PA",42089,49223,19674,38.937,0.315,41.010818,-75.234842
25876,"East Tawas, MI Urban Area","East Tawas, MI",26069,4508,3167,5.005,0.0,44.273921,-83.508635
25903,"East Troy, WI Urban Area","East Troy, WI",55127,5314,2570,4.141,0.638,42.79552,-88.398528
25930,"Eaton, CO Urban Area","Eaton, CO",08123,5728,2344,2.16,0.0,40.527435,-104.716851
25957,"Eaton, OH Urban Area","Eaton, OH",39135,7899,3807,4.494,0.001,39.749911,-84.635486
25984,"Eaton Rapids, MI Urban Area","Eaton Rapids, MI",26045,4809,2143,2.805,0.055,42.51142,-84.654426
26038,"Eau Claire, WI Urban Area","Eau Claire, WI",55035,106445,47217,62.496,3.951,44.8496,-91.459913
26065,"Ebensburg, PA Urban Area","Ebensburg, PA",42021,4424,2306,2.589,0.012,40.478698,-78.741113
26092,"Eden, NC Urban Area","Eden, NC",37157,15805,7594,14.235,0.016,36.504197,-79.748256
26119,"Edenton, NC Urban Area","Edenton, NC",37041,4447,2542,3.586,0.069,36.071606,-76.617043
26173,"Edgerton, WI Urban Area","Edgerton, WI",55105,8248,4237,6.19,0.191,42.838856,-89.055991
26227,"Edinboro, PA Urban Area","Edinboro, PA",42049,6231,2836,2.437,0.075,41.883992,-80.123253
26254,"Edna, TX Urban Area","Edna, TX",48239,5971,2669,3.695,0.0,28.974289,-96.650546
26275,"Edwards--Avon, CO Urban Area","Edwards, CO",08037,18335,12353,11.603,0.226,39.639076,-106.553834
26308,"Effingham, IL Urban Area","Effingham, IL",17049,13987,6348,13.576,0.029,39.125966,-88.531694
26362,"Elberton, GA Urban Area","Elberton, GA",13105,5940,2792,5.021,0.027,34.108838,-82.866255
26375,"Elburn, IL Urban Area","Elburn, IL",17089,6386,2690,3.565,0.0,41.887549,-88.459832
26389,"El Campo, TX Urban Area","El Campo, TX",48481,12773,5328,7.828,0.008,29.198508,-96.276623
26405,"El Centro, CA Urban Area","El Centro, CA",06025,75548,24201,19.352,0.018,32.802839,-115.560322
26422,"Eldersburg, MD Urban Area","Eldersburg, MD",24013,28659,10655,18.38,0.183,39.398706,-76.941698
26443,"Eldon, MO Urban Area","Eldon, MO",29131,4422,2259,3.338,0.0,38.350261,-92.576903
26470,"El Dorado, AR Urban Area","El Dorado, AR",05139,18124,8319,20.262,0.0,33.211502,-92.663028
26524,"El Dorado, KS Urban Area","El Dorado, KS",20015,12764,5934,7.446,0.008,37.819351,-96.866248
26659,"Elgin, TX Urban Area","Elgin, TX",48021,11962,4798,4.767,0.0,30.351263,-97.385115
26686,"Elizabeth City, NC Urban Area","Elizabeth City, NC",37139,24578,11016,16.516,0.009,36.298233,-76.226397
26750,"Elizabethtown--Radcliff, KY Urban Area","Elizabethtown, KY",21093,78639,33968,55.826,0.502,37.873754,-85.949265
26767,"Elk City, OK Urban Area","Elk City, OK",40009,11000,6108,9.013,0.0,35.408502,-99.407818
26794,"Elkhart, IN--MI Urban Area","Elkhart, IN",18039,148079,60605,94.939,3.123,41.662338,-85.924496
26821,"Elkhorn, WI Urban Area","Elkhorn, WI",55127,11827,5045,6.94,0.056,42.687332,-88.543002
26875,"Elkins, WV Urban Area","Elkins, WV",54083,10958,5275,7.121,0.0,38.935799,-79.855896
26902,"Elko, NV Urban Area","Elko, NV",32007,21302,9251,12.56,0.0,40.839773,-115.766306
26956,"Elkton, VA Urban Area","Elkton, VA",51165,5132,3012,4.805,0.025,38.402154,-78.617496
26983,"Ellensburg, WA Urban Area","Ellensburg, WA",53037,20776,10038,8.84,0.021,47.001086,-120.538461
27010,"Ellenville, NY Urban Area","Ellenville, NY",36111,6544,2602,3.303,0.03,41.725976,-74.386724
27037,"Ellijay, GA Urban Area","Ellijay, GA",13123,5135,3575,13.212,0.112,34.673133,-84.507983
27085,"Ellwood City, PA Urban Area","Ellwood City, PA",42073,12941,6548,7.36,0.125,40.852954,-80.280735
27118,"Elmira, NY Urban Area","Elmira, NY",36015,61939,29764,31.698,0.456,42.086405,-76.82518
27253,"El Paso, TX--NM Urban Area","El Paso, TX",48141,861502,320470,255.883,0.987,31.786147,-106.389782
27261,"El Paso de Robles (Paso Robles)--Atascadero, CA Urban Area","El Paso de Robles (Paso Robles), CA",06079,68310,27583,29.963,0.044,35.444573,-120.624475
27280,"El Reno, OK Urban Area","El Reno, OK",40017,15193,6200,8.715,0.005,35.520858,-97.956489
27290,"Elsa, TX Urban Area","Elsa, TX",48215,14952,5171,6.255,0.0,26.299313,-97.980961
27307,"Elwood, IN Urban Area","Elwood, IN",18095,9090,4361,4.632,0.0,40.272468,-85.837712
27361,"Ely, NV Urban Area","Ely, NV",32033,4275,2275,3.096,0.0,39.247316,-114.87507
27469,"Emmett, ID Urban Area","Emmett, ID",16045,10967,4315,5.73,0.079,43.875885,-116.496474
27523,"Emporia, KS Urban Area","Emporia, KS",20111,24087,11431,11.187,0.081,38.409579,-96.194519
27550,"Emporia, VA Urban Area","Emporia, VA",51595,7186,3330,6.542,0.059,36.69725,-77.544739
27631,"Enid, OK Urban Area","Enid, OK",40047,50056,22599,29.487,0.014,36.39856,-97.893218
27658,"Ennis, TX Urban Area","Ennis, TX",48139,21291,8009,12.418,0.349,32.328189,-96.631752
27685,"Enterprise, AL Urban Area","Enterprise, AL",01031,31071,13608,23.747,0.058,31.329219,-85.829648
27712,"Ephraim, UT Urban Area","Ephraim, UT",49039,5160,1569,1.746,0.0,39.357786,-111.582362
27739,"Ephrata, WA Urban Area","Ephrata, WA",53025,8383,3195,4.272,0.0,47.314246,-119.553286
27766,"Erie, PA Urban Area","Erie, PA",42049,187243,84348,73.339,0.23,42.088867,-80.112692
27793,"Erwin, TN Urban Area","Erwin, TN",47171,7984,3890,5.926,0.005,36.143997,-82.408735
27820,"Escalon, CA Urban Area","Escalon, CA",06077,7341,2924,1.988,0.0,37.792578,-120.99566
27847,"Escanaba, MI Urban Area","Escanaba, MI",26041,21954,10537,18.063,0.16,45.733032,-87.084194
27874,"Española, NM Urban Area","Española, NM",35039,23590,10684,20.137,0.163,36.012019,-106.047156
27901,"Estacada, OR Urban Area","Estacada, OR",41005,5586,2038,2.991,0.006,45.297043,-122.328629
27928,"Estes Park, CO Urban Area","Estes Park, CO",08069,8178,5768,12.15,0.271,40.359149,-105.529617
27955,"Estherville, IA Urban Area","Estherville, IA",19063,5742,2739,3.45,0.0,43.403532,-94.832892
28009,"Etowah, TN Urban Area","Etowah, TN",47107,4521,2246,4.505,0.0,35.338883,-84.528244
28063,"Eudora, KS Urban Area","Eudora, KS",20045,6071,2269,2.62,0.042,38.932378,-95.096848
28090,"Eufaula, AL--GA Urban Area","Eufaula, AL",01005,8678,4123,6.954,0.011,31.887533,-85.14468
28117,"Eugene, OR Urban Area","Eugene, OR",41039,270825,118094,73.485,0.064,44.069521,-123.085685
28144,"Eunice, LA Urban Area","Eunice, LA",22097,11631,5327,7.133,0.03,30.493373,-92.418098
28198,"Eureka, CA Urban Area","Eureka, CA",06023,46257,20712,18.795,1.459,40.775465,-124.166342
28225,"Eureka, IL Urban Area","Eureka, IL",17203,5363,2350,2.522,0.048,40.713988,-89.274949
28262,"Eureka, MO Urban Area","Eureka, MO",29189,15598,5361,9.335,0.017,38.491444,-90.643009
28306,"Evanston, WY Urban Area","Evanston, WY",56041,11878,5191,7.674,0.044,41.260088,-110.963739
28333,"Evansville, IN Urban Area","Evansville, IN",18163,206973,95182,112.753,1.124,38.007208,-87.526177
28360,"Evansville, WI Urban Area","Evansville, WI",55105,6408,2721,2.803,0.0,42.778401,-89.298617
28441,"Evergreen, CO Urban Area","Evergreen, CO",08059,9205,4206,9.46,0.085,39.645594,-105.336295
28495,"Excelsior Springs, MO Urban Area","Excelsior Springs, MO",29047,9864,4017,5.7,0.0,39.346037,-94.238117
28506,"Exeter, CA Urban Area","Exeter, CA",06107,10636,3604,2.87,0.0,36.294749,-119.148247
28511,"Exeter, NH Urban Area","Exeter, NH",33015,15784,7512,11.732,0.122,42.985696,-70.926615
28522,"Fabens, TX Urban Area","Fabens, TX",48141,4191,1927,1.691,0.023,31.505333,-106.154028
28549,"Fairbanks, AK Urban Area","Fairbanks, AK",02090,73993,31290,74.303,2.54,64.85531,-147.756344
28603,"Fairbury, NE Urban Area","Fairbury, NE",31095,3905,2050,2.36,0.004,40.144738,-97.176504
28657,"Fairfield, CA Urban Area","Fairfield, CA",06095,150238,50015,40.809,0.239,38.261965,-122.032389
28684,"Fairfield, IL Urban Area","Fairfield, IL",17191,4539,2573,3.262,0.025,38.380391,-88.369938
28711,"Fairfield, IA Urban Area","Fairfield, IA",19101,9352,4734,5.383,0.046,41.005895,-91.967453
28765,"Fairfield Glade, TN Urban Area","Fairfield Glade, TN",47035,8833,5281,9.635,0.4,36.009502,-84.885711
28766,"Fairhope--Daphne, AL Urban Area","Fairhope, AL",01003,76084,33244,59.065,0.26,30.620911,-87.904485
28846,"Fairmont, MN Urban Area","Fairmont, MN",27091,8250,4021,3.638,0.381,43.645881,-94.456578
28873,"Fairmont, WV Urban Area","Fairmont, WV",54049,33145,15830,20.188,0.704,39.464498,-80.158601
28981,"Fajardo, PR Urban Area","Fajardo, PR",72053,68618,39338,34.359,0.221,18.33623,-65.656006
28995,"Falcon, CO Urban Area","Falcon, CO",08041,21966,6882,8.476,0.0,38.963609,-104.605093
29008,"Falfurrias, TX Urban Area","Falfurrias, TX",48047,4475,2562,2.186,0.0,27.224195,-98.147155
29024,"Fallbrook, CA Urban Area","Fallbrook, CA",06073,40821,13997,26.026,0.028,33.353657,-117.225141
29035,"Fallon, NV Urban Area","Fallon, NV",32001,16066,7334,13.961,0.007,39.487723,-118.792263
29062,"Falls City, NE Urban Area","Falls City, NE",31147,4099,2034,3.353,0.005,40.062208,-95.599013
29089,"Fargo, ND--MN Urban Area","Fargo, ND",38017,220697,101319,77.731,0.114,46.858555,-96.826798
29116,"Faribault, MN Urban Area","Faribault, MN",27131,23908,9233,10.241,0.237,44.297461,-93.278929
29251,"Farmington, MO Urban Area","Farmington, MO",29187,32708,14148,18.053,0.04,37.853921,-90.51246
29278,"Farmington, NM Urban Area","Farmington, NM",35045,50995,20398,32.623,0.014,36.747223,-108.162366
29305,"Farmville, NC Urban Area","Farmville, NC",37147,4493,2238,2.948,0.0,35.594653,-77.591416
29332,"Farmville, VA Urban Area","Farmville, VA",51147,8208,3235,6.563,0.113,37.286016,-78.39096
29440,"Fayetteville, NC Urban Area","Fayetteville, NC",37051,326934,138092,195.924,2.05,35.052628,-78.97684
29467,"Fayetteville, TN Urban Area","Fayetteville, TN",47103,10717,4471,12.435,0.0,35.111264,-86.571838
29494,"Fayetteville--Springdale--Rogers, AR--MO Urban Area","Fayetteville, AR",05007,384576,155796,198.27,2.421,36.262667,-94.184323
29555,"Fenton, MI Urban Area","Fenton, MI",26049,37913,16057,29.665,5.564,42.796909,-83.751639
29575,"Fergus Falls, MN Urban Area","Fergus Falls, MN",27111,13133,6592,7.636,0.604,46.288649,-96.077117
29608,"Fernandina Beach--Yulee, FL Urban Area","Fernandina Beach, FL",12089,51786,26852,50.554,1.137,30.604972,-81.500742
29656,"Fernley, NV Urban Area","Fernley, NV",32019,19489,7406,10.597,0.0,39.602952,-119.23564
29683,"Ferriday, LA Urban Area","Ferriday, LA",22029,5923,2277,4.836,0.0,31.626058,-91.559291
29710,"Fillmore, CA Urban Area","Fillmore, CA",06111,16565,5298,2.633,0.0,34.401164,-118.918568
29737,"Findlay, OH Urban Area","Findlay, OH",39063,47699,22571,25.63,0.158,41.049732,-83.639702
29764,"Firebaugh, CA Urban Area","Firebaugh, CA",06019,8301,2565,2.488,0.055,36.851884,-120.451701
29769,"Fire Island, NY Urban Area","Fire Island, NY",36103,487,3583,2.864,0.051,40.64789,-73.147956
29775,"Firestone--Frederick, CO Urban Area","Firestone, CO",08123,36732,12897,15.216,0.195,40.139574,-104.959813
29791,"Fitzgerald, GA Urban Area","Fitzgerald, GA",13017,11234,5234,8.504,0.203,31.715424,-83.260472
29818,"Flagstaff, AZ Urban Area","Flagstaff, AZ",04005,79354,32514,29.263,0.03,35.201579,-111.618444
29846,"Flemington--Raritan, NJ Urban Area","Flemington, NJ",34019,25456,9924,18.394,0.023,40.505613,-74.848872
29872,"Flint, MI Urban Area","Flint, MI",26049,295545,140050,205.457,1.741,43.012172,-83.68054
29899,"Flora, IL Urban Area","Flora, IL",17025,4734,2396,3.185,0.0,38.670794,-88.480512
29953,"Florence, AL Urban Area","Florence, AL",01077,79164,38225,54.627,0.142,34.815178,-87.67165
29980,"Florence East, AZ Urban Area","Florence East, AZ",04021,11017,3168,2.655,0.0,33.031778,-111.386874
30034,"Florence, OR Urban Area","Florence, OR",41039,11709,6700,7.98,0.015,44.005913,-124.111493
30061,"Florence, SC Urban Area","Florence, SC",45041,90940,40889,68.038,0.566,34.204283,-79.809012
30073,"Florence West, AZ Urban Area","Florence West, AZ",04021,13452,5570,5.874,0.0,33.061888,-111.468282
30088,"Floresville, TX Urban Area","Floresville, TX",48493,6719,2822,3.853,0.006,29.14131,-98.156623
30171,"Foley--Gulf Shores, AL Urban Area","Foley, AL",01003,45055,29380,49.045,0.424,30.337676,-87.692771
30223,"Fond du Lac, WI Urban Area","Fond du Lac, WI",55039,54317,24880,24.69,0.313,43.779876,-88.445312
30232,"Fontana-on-Geneva Lake, WI Urban Area","Fontana, WI",55127,8880,6956,10.253,3.432,42.567167,-88.547583
30331,"Forest City--Spindale, NC Urban Area","Forest City, NC",37161,20148,9524,26.891,0.074,35.338887,-81.897738
30358,"Forest Lake, MN Urban Area","Forest Lake, MN",27163,21891,8990,14.013,4.39,45.273307,-92.96984
30439,"Forney, TX Urban Area","Forney, TX",48257,45880,15230,19.678,0.071,32.745298,-96.441461
30466,"Forrest City, AR Urban Area","Forrest City, AR",05123,8931,4161,7.014,0.02,35.013019,-90.785726
30493,"Forsyth, GA Urban Area","Forsyth, GA",13207,5443,2344,5.202,0.012,33.03924,-83.947879
30520,"Forsyth, MO Urban Area","Forsyth, MO",29213,7373,3598,6.597,0.017,36.710406,-93.175258
30547,"Fort Atkinson, WI Urban Area","Fort Atkinson, WI",55055,13952,6170,6.904,0.113,42.918337,-88.843686
30574,"Fort Bragg, CA Urban Area","Fort Bragg, CA",06045,10796,5567,9.808,0.137,39.421205,-123.795643
30628,"Fort Collins, CO Urban Area","Fort Collins, CO",08069,333455,143363,117.977,7.051,40.563092,-105.111884
30682,"Fort Dodge, IA Urban Area","Fort Dodge, IA",19187,24715,11499,13.615,0.199,42.50959,-94.18209
30736,"Fort Irwin, CA Urban Area","Fort Irwin, CA",06071,8791,3100,3.617,0.0,35.258999,-116.686841
30748,"Fort Leonard Wood--St. Robert--Waynesville, MO Urban Area","Fort Leonard Wood, MO",29169,30512,9546,26.177,0.008,37.756908,-92.126985
30755,"Fort Lupton, CO Urban Area","Fort Lupton, CO",08123,8501,2893,2.33,0.0,40.083141,-104.804927
30763,"Fort Madison, IA--IL Urban Area","Fort Madison, IA",19111,10405,5185,5.962,0.0,40.62894,-91.344033
30790,"Fort Meade, FL Urban Area","Fort Meade, FL",12105,4944,2635,2.319,0.026,27.750056,-81.795337
30817,"Fort Morgan, CO Urban Area","Fort Morgan, CO",08087,13337,5078,5.542,0.0,40.25046,-103.794137
30844,"Fort Payne, AL Urban Area","Fort Payne, AL",01049,8043,3558,8.646,0.012,34.451415,-85.719746
30871,"Fort Polk South, LA Urban Area","Fort Polk South, LA",22115,9609,3482,9.457,0.025,31.055871,-93.226486
30885,"Fort Rucker--Daleville, AL Urban Area","Fort Rucker, AL",01045,7181,2975,7.766,0.0,31.308064,-85.711351
30898,"Fort Scott, KS Urban Area","Fort Scott, KS",20011,7490,3801,5.103,0.006,37.826083,-94.702741
30925,"Fort Smith, AR--OK Urban Area","Fort Smith, AR",05131,126921,55824,73.973,0.324,35.376008,-94.362206
30952,"Fort Stockton, TX Urban Area","Fort Stockton, TX",48371,8003,3697,5.985,0.0,30.894435,-102.886612
30979,"Fortuna, CA Urban Area","Fortuna, CA",06023,13121,5473,5.821,0.0,40.587321,-124.145121
31033,"Fort Valley, GA Urban Area","Fort Valley, GA",13225,9769,4594,5.81,0.013,32.552211,-83.891307
31087,"Fort Wayne, IN Urban Area","Fort Wayne, IN",18003,337097,145939,163.595,0.27,41.097619,-85.147434
31114,"Fostoria, OH Urban Area","Fostoria, OH",39147,13774,6386,8.309,0.083,41.164226,-83.410851
31150,"Four Corners, FL Urban Area","Four Corners, FL",12105,103126,55443,84.483,4.056,28.235393,-81.677538
31195,"Frankenmuth, MI Urban Area","Frankenmuth, MI",26145,5108,2593,2.923,0.038,43.332753,-83.737571
31222,"Frankfort, IN Urban Area","Frankfort, IN",18023,15682,6551,7.486,0.0,40.280355,-86.525564
31249,"Frankfort, KY Urban Area","Frankfort, KY",21073,37459,17683,22.328,0.516,38.188228,-84.859577
31262,"Frankfort, MI Urban Area","Frankfort, MI",26019,2365,2592,4.237,0.051,44.63761,-86.227759
31276,"Franklin, KY Urban Area","Franklin, KY",21213,12488,4854,8.337,0.018,36.725708,-86.575604
31303,"Franklin, LA Urban Area","Franklin, LA",22101,9683,4926,6.197,0.061,29.797187,-91.505105
31330,"Franklin, NH Urban Area","Franklin, NH",33013,7346,3260,4.225,0.208,43.443804,-71.647589
31384,"Franklin, NC Urban Area","Franklin, NC",37113,9185,5251,13.965,0.318,35.177893,-83.380771
31411,"Franklin (Venango County), PA Urban Area","Franklin (Venango County), PA",42121,8665,4175,5.623,0.029,41.39412,-79.833473
31438,"Franklin, VA Urban Area","Franklin, VA",51620,9101,4213,6.439,0.043,36.682427,-76.933958
31478,"Fraser, CO Urban Area","Fraser, CO",08049,2664,5269,4.454,0.005,39.9253,-105.788415
31519,"Frederick, MD Urban Area","Frederick, MD",24021,183353,70919,80.292,0.68,39.406328,-77.363357
31573,"Fredericksburg, TX Urban Area","Fredericksburg, TX",48171,11823,7062,7.829,0.006,30.27382,-98.869249
31600,"Fredericksburg, VA Urban Area","Fredericksburg, VA",51177,170543,65774,89.619,1.221,38.284434,-77.497396
31627,"Fredericktown, MO Urban Area","Fredericktown, MO",29123,5187,2247,3.269,0.006,37.55872,-90.294904
31660,"Freeland, MI Urban Area","Freeland, MI",26145,7334,2212,8.46,0.007,43.531539,-84.102263
31668,"Freeland, PA Urban Area","Freeland, PA",42079,5530,2748,1.563,0.0,41.017365,-75.902799
31672,"Freeland, WA Urban Area","Freeland, WA",53029,7825,5793,12.077,0.134,48.008787,-122.543177
31681,"Freeport, IL Urban Area","Freeport, IL",17177,23935,12244,10.621,0.037,42.290173,-89.634888
31735,"Fremont, MI Urban Area","Fremont, MI",26123,5250,2283,3.832,0.062,43.465758,-85.951597
31762,"Fremont, NE Urban Area","Fremont, NE",31053,28458,12330,13.771,0.326,41.442028,-96.497273
31789,"Fremont, OH Urban Area","Fremont, OH",39143,22811,10847,13.395,0.364,41.348235,-83.117703
31843,"Fresno, CA Urban Area","Fresno, CA",06019,722734,249578,159.111,1.246,36.789045,-119.769
31852,"Friday Harbor, WA Urban Area","Friday Harbor, WA",53055,3710,2050,4.425,0.472,48.523964,-122.99517
31889,"Frisco, CO Urban Area","Frisco, CO",08117,3583,4093,2.153,0.0,39.57871,-106.093771
31924,"Front Royal, VA Urban Area","Front Royal, VA",51187,16055,6592,10.707,0.021,38.917107,-78.17676
31978,"Frostproof, FL Urban Area","Frostproof, FL",12105,7441,3568,7.493,1.935,27.732956,-81.558996
32032,"Fulton, KY--TN Urban Area","Fulton, KY",21075,4082,2175,3.156,0.018,36.504438,-88.879996
32086,"Fulton, MO Urban Area","Fulton, MO",29027,12076,3937,8.671,0.091,38.850805,-91.952188
32092,"Fulton, NY Urban Area","Fulton, NY",36075,12515,5948,5.732,0.29,43.307089,-76.397503
32113,"Gadsden, AL Urban Area","Gadsden, AL",01055,58049,26963,61.209,2.029,33.985171,-86.027569
32140,"Gaffney, SC Urban Area","Gaffney, SC",45021,18636,8476,15.427,0.048,35.076849,-81.65191
32167,"Gainesville, FL Urban Area","Gainesville, FL",12001,216394,97859,87.697,1.345,29.656213,-82.387728
32194,"Gainesville, GA Urban Area","Gainesville, GA",13139,170650,65900,251.664,11.57,34.233735,-83.86262
32221,"Gainesville, TX Urban Area","Gainesville, TX",48097,16970,6953,9.555,0.01,33.63744,-97.138935
32248,"Galax, VA Urban Area","Galax, VA",51640,6370,3161,6.621,0.026,36.66564,-80.914308
32329,"Galesburg, IL Urban Area","Galesburg, IL",17095,33582,16012,21.923,0.055,40.944688,-90.359115
32356,"Galion, OH Urban Area","Galion, OH",39033,11466,5759,6.414,0.016,40.734572,-82.790333
32383,"Galliano--Larose--Cut Off, LA Urban Area","Galliano, LA",22057,18757,8491,18.698,0.367,29.489474,-90.330724
32437,"Gallup, NM Urban Area","Gallup, NM",35031,25391,8540,13.678,0.0,35.521565,-108.738747
32451,"Galt, CA Urban Area","Galt, CA",06067,27384,9036,7.087,0.0,38.265752,-121.307562
32491,"Galveston--Texas City, TX Urban Area","Galveston, TX",48167,193686,95063,108.981,3.065,29.364635,-94.997589
32518,"Garden City, KS Urban Area","Garden City, KS",20055,30374,11786,12.749,0.026,37.975023,-100.853359
32572,"Gardnerville, NV Urban Area","Gardnerville, NV",32005,21395,9343,12.679,0.019,38.930888,-119.723951
32653,"Gastonia, NC Urban Area","Gastonia, NC",37071,178711,76609,124.579,1.333,35.258509,-81.130167
32707,"Gatesville, TX Urban Area","Gatesville, TX",48099,15357,3702,10.175,0.012,31.438289,-97.723184
32734,"Gaylord--Bagley, MI Urban Area","Gaylord, MI",26137,8287,4891,10.26,3.314,44.987582,-84.685732
