ZCTA5,Primary County,Primary County Subdivision,Primary Place,Primary Urban Area,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
00757,72133,7213338327,7238241,79390,20048,9081,32.449,3.957,17.991428,-66.402337
00765,72147,7214765331,7227190,90622,8199,5070,47.256,15.97,18.124207,-65.42307
00766,72149,7214913516,7286831,43453,22053,9407,38.177,1.444,18.130718,-66.472244
00767,72151,7215132135,7287863,79093,30779,14390,55.179,2.627,18.069489,-65.896029
00769,72043,7204360085,7218719,18316,34374,15877,77.079,0.015,18.096641,-66.358335
00771,72085,7208554710,7208099,79093,34964,14983,33.601,0.012,18.187148,-65.871189
00772,72087,7208783133,7246368,51025,17316,8876,16.343,5.501,18.438944,-65.90522
00773,72089,7208973071,7268771,28981,17716,10357,24.1,0.993,18.342888,-65.723109
00775,72049,7204928566,7222589,,1186,1466,11.647,16.804,18.326611,-65.307771
00777,72077,7207732952,7239574,79093,37726,16411,26.854,0.125,18.224327,-65.909085
00778,72063,7206369545,7232823,79093,40476,17249,29.523,0.434,18.264076,-65.97851
00780,72113,7211303067,7263820,43453,13908,5412,19.134,0.334,18.094076,-66.565781
00782,72045,7204571265,7261977,79093,18639,7121,27.98,0.123,18.224878,-66.224482
00783,72047,7204758322,7220783,79093,34205,13088,42.112,0.006,18.300221,-66.328927
00784,72057,7205764256,7232221,35866,35917,17780,66.735,6.254,18.010714,-66.133615
00786,72009,7200971867,,79093,154,110,1.764,0.0,18.135725,-66.228698
00791,72069,7206903239,7235532,79093,46537,24530,42.636,1.816,18.142603,-65.812812
00794,72019,7201967997,7205690,79093,28335,10913,34.319,0.03,18.200018,-66.309282
00795,72075,7207570749,7238972,43453,42900,17604,59.736,4.051,18.04645,-66.495142
00802,78030,7803061300,7819000,15697,0,0,29.834,11.616,18.342939,-64.925102
00820,78010,7801031600,7819900,16750,0,0,43.122,5.095,17.736627,-64.708215
00830,78020,7802015400,7828000,21475,0,0,19.387,9.281,18.338559,-64.73653
00840,78010,7801062200,7839700,16750,0,0,30.995,1.562,17.72471,-64.848522
00850,78010,7801059500,,16750,0,0,8.581,0.148,17.726822,-64.792245
00851,78010,7801059500,,16750,0,0,0.371,0.0,17.747525,-64.787439
00901,72127,7212776812,7276770,79093,8220,4210,1.015,1.61,18.466594,-66.107982
00906,72127,7212776812,7276770,79093,148,110,0.003,0.0,18.46446,-66.094995
00907,72127,7212779693,7276770,79093,16607,12850,2.043,2.005,18.452271,-66.087625
00909,72127,7212779693,7276770,79093,5260,3703,0.653,0.045,18.441246,-66.068766
00911,72127,7212779693,7276770,79093,7087,5477,0.476,0.264,18.453656,-66.056338
00912,72127,7212779693,7276770,79093,5955,3783,0.371,0.0,18.445067,-66.059942
