ZCTA5,Primary County,Primary County Subdivision,Primary Place,Primary Urban Area,Population,Housing Units,Land Area,Water Area,Latitude,Longitude
15759,42063,4206321456,4247472,,2906,1133,57.1,0.057,40.773017,-79.031699
15760,42021,4202104272,,,83,39,1.414,0.0,40.645828,-78.805073
15761,42063,4206360320,,,141,33,0.38,0.0,40.63405,-78.890103
15762,42021,4202104272,,,996,373,12.814,0.007,40.594306,-78.829302
15763,42063,4206383416,,,17,22,0.428,0.0,40.907143,-79.128005
15764,42065,4206556712,,,156,57,1.84,0.007,40.994569,-79.02696
15765,42063,4206313072,4233672,,1634,643,40.373,0.514,40.592635,-79.000291
15767,42065,4206559480,4262920,72775,14156,6733,159.969,0.824,40.965616,-78.975453
15770,42065,4206564960,4276744,,180,96,4.645,0.021,41.009097,-79.136749
15771,42063,4206355184,,,908,465,31.105,0.172,40.831556,-78.989145
15772,42063,4206304056,4266304,,1656,653,32.736,0.131,40.870222,-78.898677
15773,42021,4202182688,,,436,188,1.53,0.0,40.630724,-78.730318
15774,42005,4206303064,4237552,,2609,1293,54.697,0.79,40.65469,-79.323835
15775,42021,4202104272,4255000,,599,291,1.409,0.0,40.634809,-78.783989
15776,42065,4206556712,,,34,23,2.246,0.009,41.010988,-79.111592
15777,42063,4206330816,4215464,,23,14,0.726,0.0,40.697385,-78.962591
15778,42065,4206576744,4276744,,342,64,0.7,0.001,40.968969,-79.198434
15779,42129,4212918968,,,527,110,8.237,0.0,40.40011,-79.218444
15780,42065,4206559480,,,62,41,1.236,0.0,40.92093,-79.043298
15781,42065,4206587168,,72775,76,37,1.053,0.0,40.963747,-78.986856
15783,42063,4206387160,,,49,22,1.356,0.0,40.602966,-79.345018
15784,42065,4206586568,4286568,,59,33,0.171,0.005,41.024489,-79.141065
15801,42033,4203367792,4277335,24796,20312,10143,70.199,1.077,41.129961,-78.728348
15821,42047,4204705576,,,73,380,33.509,0.377,41.371765,-78.39709
15823,42047,4204735816,4217040,,1230,617,35.917,0.088,41.259876,-78.71568
15824,42065,4206571632,4208960,,5146,2432,66.586,0.299,41.246173,-78.837488
15825,42065,4206540304,4209224,10810,9565,4687,154.886,0.888,41.169993,-79.040345
15827,42047,4204737760,4210600,,305,150,0.354,0.0,41.294709,-78.50579
15828,42053,4205304224,,,233,499,24.394,0.567,41.385437,-79.12333
15829,42065,4206514408,4216304,,1209,611,31.914,0.163,41.209546,-79.244037
15831,42047,4204727088,,,43,16,0.156,0.0,41.353064,-78.604278
15832,42023,4202329008,4219976,,238,684,112.407,0.784,41.356513,-78.197279
15834,42023,4202370336,4223600,,4166,2726,203.984,0.636,41.50076,-78.322783
15840,42065,4206581264,4225136,24796,1744,879,17.256,0.316,41.171972,-78.822649
15841,42047,4204737760,4226504,,243,112,0.158,0.0,41.257905,-78.504358
15845,42047,4204764792,4238248,,2920,1559,39.942,0.525,41.508371,-78.706975
15846,42047,4204727088,4239512,,3323,1485,58.087,0.065,41.339978,-78.608516
15847,42065,4206540304,,,94,28,0.024,0.0,41.085923,-79.029677
15848,42033,4203308120,,,885,423,20.029,0.097,41.030154,-78.71058
15849,42033,4203336512,,,1370,960,77.006,0.199,41.187082,-78.573007
15851,42065,4206585840,4264376,,7112,3106,97.042,0.354,41.102906,-78.910416
15853,42047,4204764792,4264784,74908,6411,3334,150.413,1.126,41.392343,-78.791631
15856,42033,4203378296,,,853,501,39.408,0.383,41.082255,-78.614302
15857,42047,4204767344,4267344,77878,12958,6292,100.463,0.193,41.455038,-78.52019
15860,42065,4204749888,,,1212,1719,134.322,0.639,41.345562,-79.036837
15861,42023,4202331632,,,119,403,63.587,0.552,41.352795,-78.036198
15863,42065,4206533816,,,143,84,0.506,0.0,41.015727,-78.838473
15864,42065,4203143344,4275168,,1882,861,38.764,0.17,41.102233,-79.190133
15865,42065,4206575888,4275888,,988,602,2.423,0.007,41.050335,-78.813877
15866,42033,4203377568,4277568,,218,64,0.771,0.0,41.029383,-78.787682
15868,42047,4204737760,4281960,,1788,1188,137.959,0.341,41.300528,-78.408847
15870,42047,4204738368,4285088,,1228,1001,114.783,1.914,41.582792,-78.582366
15901,42021,4202138288,4238288,43291,3616,2627,1.521,0.062,40.328162,-78.911913
15902,42021,4202115552,4238288,43291,11415,6336,9.404,0.061,40.319201,-78.868879
15904,42021,4202164544,4205400,43291,16388,7151,28.883,0.223,40.312663,-78.83957
15905,42021,4211115568,4283584,43291,19882,9984,41.527,0.289,40.290709,-78.969945
15906,42021,4202137352,4238288,43291,9965,5851,27.268,0.414,40.384474,-78.934045
15909,42021,4202137352,4280264,43291,4912,2527,17.75,0.11,40.409742,-78.869741
15920,42063,4206322048,4203032,,573,300,8.031,0.074,40.468033,-79.046764
15921,42021,4202175144,4204768,,314,178,0.26,0.0,40.31643,-78.697865
15922,42021,4202106736,,,82,19,0.224,0.0,40.5185,-78.878018
15923,42129,4212924608,4207480,,1554,651,25.73,0.162,40.35522,-79.158504
15924,42111,4211169448,4210720,,880,437,26.421,0.019,40.103423,-78.762858
15925,42021,4202111616,4211616,70831,120,52,0.077,0.0,40.408548,-78.640772
15926,42111,4211169448,4236888,,2470,1523,31.691,0.787,40.026799,-78.816836
15927,42021,4202110880,4215416,,760,407,5.179,0.0,40.541443,-78.780271
15928,42111,4211115568,4218312,43291,2075,965,6.292,0.005,40.239333,-78.918675
15929,42063,4206310104,,,128,44,1.018,0.012,40.480233,-79.011209
15930,42021,4202100308,4220336,,419,224,0.423,0.0,40.294672,-78.717499
15931,42021,4202110880,4222144,26065,9018,4041,81.333,0.411,40.514828,-78.784021
15934,42021,4202100308,,43291,0,0,0.128,0.0,40.28096,-78.796162
15935,42111,4211115568,4205648,,2647,1236,22.816,1.386,40.19794,-78.967164
15936,42111,4211169448,4235608,,1470,729,25.863,0.015,40.160887,-78.892633
15937,42111,4211115568,4238104,,676,362,2.392,0.0,40.214616,-78.981041
15938,42021,4202181200,4243248,70831,2252,1005,24.351,0.024,40.415496,-78.597216
15940,42021,4202100868,4244704,,3831,768,24.457,0.06,40.526521,-78.643551
15942,42021,4202137352,4252312,,2011,779,17.397,0.178,40.398076,-78.810745
15943,42021,4202137352,4252616,,3657,1967,21.069,0.042,40.474825,-78.835526
15944,42129,4212967240,4253544,,3149,1484,65.115,0.554,40.363889,-79.079158
15945,42021,4202121896,,43291,181,55,0.155,0.0,40.359077,-78.868714
15946,42021,4202162056,4273224,70831,6716,3081,48.552,0.27,40.370105,-78.618107
15948,42021,4202110880,4264288,26065,663,230,0.616,0.0,40.489733,-78.767045
15949,42063,4206384184,4265360,,683,264,1.265,0.038,40.406525,-79.135235
15951,42021,4202100308,4267352,,492,431,1.473,0.007,40.333185,-78.770688
15952,42021,4202100308,4267608,,1235,547,3.315,0.0,40.303506,-78.776084
15953,42111,4211157552,,,161,50,1.048,0.001,40.208407,-78.8849
15954,42063,4206322048,4269368,,2409,1280,20.261,0.252,40.417823,-78.99995
15955,42021,4202100308,4204768,,2246,1038,34.261,0.637,40.308872,-78.693186
15956,42021,4202100308,4272168,,2604,1321,8.107,0.077,40.350771,-78.796024
15957,42063,4202106736,,,396,172,5.673,0.013,40.546257,-78.899995
15958,42021,4202175144,4275136,,2277,988,18.446,0.048,40.387483,-78.730674
15960,42021,4202106736,,,165,102,1.048,0.0,40.498446,-78.851795
15961,42063,4202137352,4280288,,849,434,16.914,0.204,40.466443,-78.943367
15962,42021,4202185528,4285528,,390,119,0.244,0.0,40.389404,-78.716371
15963,42111,4211156352,4285632,43291,10338,5175,90.421,0.154,40.219638,-78.785278
16001,42019,4201912024,4269715,11998,39808,20023,75.813,1.287,40.910025,-79.945191
16002,42019,4201975184,4254552,11998,15944,6597,73.312,0.069,40.815104,-79.855349
16020,42019,4201979904,,,1190,523,27.169,0.0,41.116493,-79.896534
16022,42019,4201909528,4209528,,279,145,0.752,0.0,41.054553,-79.733232
16023,42019,4201985784,,,4387,1869,26.126,0.0,40.784971,-79.749208
16024,42019,4201910800,4210800,69697,291,115,0.332,0.0,40.73975,-80.037228
16025,42019,4201919456,4213440,,4858,2163,54.664,0.124,40.939979,-79.771307
16027,42019,4201915808,4215808,,392,140,0.806,0.0,40.818332,-80.015411
16028,42005,4200574992,4220840,,2061,1089,15.499,0.299,40.951294,-79.635593
16029,42019,4201920904,4220904,11998,906,415,0.776,0.0,40.87994,-79.845998
16030,42019,4201922128,4222128,,327,136,1.06,0.0,41.136202,-79.796907
16033,42019,4201926904,4224248,69697,7376,3357,30.744,0.018,40.796445,-80.048964
16034,42019,4201914048,,,1831,866,18.786,0.003,40.857866,-79.714977
16035,42019,4201948688,,,141,39,0.871,0.003,41.109134,-80.018446
16036,42031,4203164552,4227112,,314,148,2.191,0.354,41.134163,-79.668713
16037,42019,4201941208,4232688,69697,4709,1954,34.449,0.16,40.842611,-80.133751
16038,42019,4201947448,4204136,,3214,1319,45.902,0.006,41.164486,-79.953346
16040,42019,4201981192,,,1066,372,19.289,0.003,41.093869,-79.841337
16041,42019,4201924840,4238768,,2105,1033,29.041,0.0,41.006953,-79.713925
16045,42019,4201910472,4235364,11998,999,514,0.605,0.0,40.852766,-79.916305
16046,42019,4201900300,4269309,69697,18772,7283,22.823,0.004,40.702612,-80.023973
16048,42019,4201981192,,,221,77,2.489,0.0,41.052185,-79.80349
16049,42031,4203159456,4213152,,3011,1595,90.788,2.67,41.094067,-79.671823
16050,42019,4201957984,4209528,,931,494,20.775,0.007,41.044024,-79.761496
16051,42019,4201952176,4262224,,3035,1319,39.825,3.063,40.942678,-80.138832
16052,42019,4201927352,4262752,,2321,959,18.043,0.722,40.899349,-80.061607
16053,42019,4201926904,4255969,11998,3478,1660,21.408,0.0,40.811954,-79.982575
16054,42031,4203164552,4267384,,381,204,1.64,0.001,41.151962,-79.661156
16055,42019,4201910000,,69697,8548,3475,38.511,0.094,40.716859,-79.749717
16056,42019,4201914320,4268056,,4620,2157,21.029,0.013,40.728403,-79.841812
16057,42019,4201971192,4283376,82495,15067,5763,88.669,0.65,41.034074,-80.0603
16059,42019,4201949056,4279504,69697,9394,4184,26.176,0.073,40.707082,-79.927088
16061,42019,4201913936,4284064,,2705,1076,42.735,0.299,41.005133,-79.884697
16063,42019,4201937344,4287272,69697,8128,3574,16.96,0.058,40.756232,-80.131076
16066,42019,4201916920,,69697,33071,13985,22.365,0.011,40.709967,-80.105642
16101,42073,4207370080,4253368,62164,30954,14761,69.229,0.512,40.983987,-80.29024
16102,42073,4207354768,4253368,62164,5166,2435,24.344,0.369,40.962242,-80.415441
16105,42073,4207353064,4253368,62164,15565,7192,25.576,0.258,41.05404,-80.339414
16110,42039,4203982944,4200372,,397,180,7.865,0.024,41.494656,-80.387377
16111,42039,4203921112,4203440,,1147,406,26.179,0.018,41.518516,-80.283532
16112,42073,4207354768,4205936,,1466,650,7.006,0.315,40.960467,-80.498397
16113,42085,4208513832,4213832,81020,349,161,0.532,0.0,41.280826,-80.424148
16114,42085,4208559496,,,561,264,11.261,0.0,41.404303,-80.187679
16115,42007,4200771952,4206240,69697,3501,1495,39.704,0.122,40.796494,-80.463523
16116,42073,4207346648,,62164,2857,1230,25.372,0.586,41.044195,-80.449588
16117,42073,4207381776,4223304,27085,15805,7894,36.391,0.617,40.871835,-80.256207
16120,42073,4207343824,4271620,,2315,1047,33.403,0.181,40.885261,-80.479165
16121,42085,4208525360,4225360,81020,4309,2218,2.276,0.009,41.211094,-80.497338
16123,42007,4200727336,,69697,2681,1055,21.919,0.242,40.821932,-80.196513
16124,42085,4208518688,4227688,,1704,743,27.071,0.0,41.333371,-80.264847
16125,42085,4208583976,4231328,35434,17610,7969,105.173,0.076,41.406506,-80.369729
16127,42085,4208560336,4231656,35812,15350,5599,73.212,0.472,41.173009,-80.072998
16130,42085,4208567816,4269936,,1982,968,30.73,0.517,41.444638,-80.222959
16131,42039,4203921112,4232976,,861,415,23.486,0.173,41.548571,-80.376918
16132,42073,4207346648,,,350,222,2.199,0.298,41.009664,-80.5033
16133,42085,4208537416,4237496,,1570,718,27.396,0.282,41.267778,-80.114451
16134,42039,4203972472,4263009,,3890,2616,47.452,5.558,41.526836,-80.490189
16136,42007,4200740400,4240400,27085,775,366,0.737,0.035,40.834932,-80.323771
16137,42085,4208525912,4240982,,12710,4997,108.53,0.583,41.231515,-80.239942
16140,42073,4207362904,4253192,,391,133,0.417,0.0,41.093646,-80.510732
16141,42073,4207353184,4253184,,1741,707,21.362,0.087,40.880265,-80.399156
16142,42085,4208585512,4254352,,5391,2116,43.754,0.191,41.135233,-80.332802
16143,42073,4207362904,4228014,,1979,978,24.516,0.074,41.105081,-80.454418
16145,42085,4208567856,4253768,,2693,1366,46.901,2.181,41.380199,-80.078624
16146,42085,4208569720,4269720,81020,13169,7195,3.985,0.0,41.234788,-80.499379
16148,42085,4208534064,4234064,81020,16710,8330,31.523,0.073,41.228478,-80.417623
16150,42085,4208572440,4213832,81020,7045,3348,23.174,3.169,41.281804,-80.449145
16151,42085,4208569936,4269936,,58,29,0.076,0.0,41.442851,-80.20567
16153,42085,4208586552,4274288,,2266,1064,43.026,0.175,41.32224,-80.086586
16154,42085,4208563008,4264368,35434,1987,909,27.017,2.148,41.3259,-80.420111
16155,42073,4207362904,,,98,31,0.677,0.0,41.067732,-80.510731
16156,42073,4207381272,4280368,,3366,1324,51.264,0.47,41.097996,-80.227214
16157,42073,4207370080,4253184,27085,2955,1470,25.023,0.493,40.888212,-80.333383
16159,42085,4208570096,4234064,81020,4616,2361,28.072,0.082,41.153413,-80.475263
16160,42073,4207376192,4283848,,956,505,1.174,0.0,40.928358,-80.362385
16161,42085,4208584376,4284376,81020,506,261,0.313,0.0,41.202311,-80.492827
16172,42073,4207354352,4254352,,845,7,0.083,0.0,41.117708,-80.331045
16201,42005,4200554856,4283172,45478,16824,7952,112.227,1.312,40.812096,-79.4725
16210,42005,4200581176,,,623,350,22.369,0.918,40.901015,-79.516619
16211,42063,4206372304,,,85,37,1.03,0.0,40.794334,-79.202375
16212,42005,4200510680,,45478,234,148,0.438,0.131,40.752466,-79.577167
16213,42031,4203110792,4210792,,149,74,0.12,0.0,41.125548,-79.558302
16214,42031,4203134456,4213800,17209,8960,4098,47.942,1.124,41.198441,-79.354159
16217,42053,4205304224,,,92,116,7.486,0.001,41.346142,-79.181312
16218,42005,4200574992,,,1189,541,27.127,0.395,40.92612,-79.592645
16220,42031,4203125272,4217440,,95,116,4.95,0.009,41.418091,-79.26819
16222,42005,4200581720,4218400,,3076,1243,61.053,0.603,40.873698,-79.256993
16223,42005,4200546632,,,69,47,1.529,0.0,40.986973,-79.353821
16224,42031,4203163728,,,836,396,19.455,0.046,41.066542,-79.290454
16226,42005,4200510344,4242672,45478,8160,4134,58.556,1.686,40.714719,-79.487423
16228,42005,4200526520,4226520,45478,355,179,0.076,0.0,40.760813,-79.535765
16229,42005,4200572000,4227784,69697,5143,2314,26.845,1.265,40.711759,-79.656252
16230,42031,4203133216,4233216,,480,205,1.025,0.06,41.020482,-79.283246
16232,42031,4203104696,4240272,,4287,1880,59.456,0.402,41.213584,-79.551244
16233,42031,4203125272,4217440,,1094,1149,36.31,0.296,41.367965,-79.285336
16235,42031,4203140288,,,1365,666,29.272,0.094,41.30579,-79.347387
16236,42005,4200546976,,45478,221,93,0.066,0.0,40.781222,-79.523713
16238,42005,4200547064,4247064,45478,426,192,0.101,0.0,40.787653,-79.520411
16239,42053,4205338016,4247416,,4059,2215,189.506,0.17,41.496972,-79.137779
16240,42065,4200563712,4276744,,1604,759,53.569,0.415,41.036013,-79.225
16242,42031,4203162144,4253248,,4258,2023,93.552,1.068,40.98542,-79.372346
16244,42005,4200516728,,,309,146,1.878,0.0,40.804985,-79.279083
16245,42005,4200563712,,,253,132,1.308,0.0,41.001559,-79.293138
16246,42063,4206361632,4261632,,184,81,0.339,0.0,40.791717,-79.182161
16248,42031,4203146464,4264904,,3126,1430,56.638,1.541,41.034876,-79.504761
16249,42005,4200516728,4266720,,1931,916,25.927,0.7,40.759381,-79.326416
16250,42005,4200516728,,,268,117,4.479,0.0,40.775652,-79.237832
16253,42005,4200546632,,,113,81,0.379,0.0,40.956694,-79.343547
16254,42031,4203123040,4247404,,3551,1582,47.172,0.517,41.255013,-79.450807
16255,42031,4203150464,4271176,,1852,830,40.563,0.355,41.128813,-79.466757
16256,42063,4206383416,4271256,,2030,535,38.488,0.45,40.855267,-79.134458
16258,42031,4203149536,4274728,,1600,1061,36.733,0.066,41.230105,-79.272223
16259,42005,4200546456,4276336,,2068,1105,45.042,1.365,40.925711,-79.451859
16260,42031,4203125272,4280384,,228,240,12.912,0.037,41.410882,-79.239273
16262,42005,4200583024,4286560,,2802,1329,33.841,0.0,40.837675,-79.652691
16263,42005,4200516728,,,331,174,3.678,0.0,40.801168,-79.341109
16301,42121,4212116232,4275000,64999,15178,7746,94.727,2.27,41.453285,-79.622427
16311,42085,4208527824,,,438,257,14.585,0.131,41.462171,-80.042364
16312,42123,4212375032,,,0,0,0.028,0.0,41.932135,-79.303214
16313,42123,4212313056,4213776,91837,1805,1307,114.638,0.109,41.714594,-79.145177
16314,42039,4203981736,4214800,,5301,2702,92.026,0.466,41.520675,-80.07707
16316,42039,4203967088,4215755,19639,4607,3395,45.529,1.582,41.595311,-80.284483
16317,42121,4212137480,4216080,,1404,774,30.393,0.0,41.532335,-79.85262
16319,42121,4212116944,,,1137,524,36.15,0.017,41.324204,-79.623458
16321,42053,4205334240,,,13,52,1.008,0.0,41.568325,-79.400859
16322,42053,4205334240,,,117,100,3.658,0.0,41.605636,-79.384341
16323,42121,4212175000,4275000,31411,14934,7136,99.971,2.096,41.417265,-79.830556
16326,42031,4203181208,,,322,157,6.833,0.008,41.376158,-79.43174
16327,42039,4203963400,4207120,,2590,1142,60.015,0.338,41.637082,-79.959566
16328,42039,4203936616,4236616,,249,118,0.486,0.0,41.650983,-79.72712
16329,42123,4212309024,,,428,332,4.48,0.72,41.852731,-79.26496
16331,42031,4203103248,,,143,56,1.804,0.006,41.287515,-79.559279
16332,42031,4203181208,,,51,38,3.946,0.026,41.356717,-79.369545
16333,42083,4208332168,,,212,219,5.759,0.0,41.749226,-78.932294
16334,42031,4203123040,,,419,218,6.773,0.003,41.304495,-79.44628
16335,42039,4203980000,4248360,55900,27497,12622,114.511,1.063,41.630635,-80.153636
16340,42123,4212361040,,,1940,1215,93.497,0.0,41.798615,-79.417505
16341,42121,4212100884,4261512,,1862,1164,74.294,0.0,41.562876,-79.547033
16342,42121,4212180168,4261936,,2359,1269,66.267,0.739,41.314848,-79.928008
16343,42121,4212175000,4275000,,550,217,4.754,0.72,41.425982,-79.752686
16344,42121,4212166440,4266440,64999,521,242,0.836,0.0,41.470477,-79.683991
16345,42123,4212323064,4266808,91837,3670,1809,94.103,2.969,41.944404,-79.082916
16346,42121,4212116944,4269272,64999,3138,1554,15.57,0.0,41.378475,-79.672744
16347,42123,4212369992,4269984,,1535,1319,103.642,0.169,41.660063,-79.070267
16350,42123,4212375032,4275024,,2332,960,50.032,0.034,41.956923,-79.334404
16351,42123,4212343372,4276696,,1760,2444,92.886,2.017,41.675353,-79.370344
16352,42123,4212348272,,,226,145,11.084,0.0,41.766135,-79.036428
16353,42053,4205376864,4276848,,2321,3818,149.14,2.065,41.492112,-79.389517
16354,42121,4212113136,4276904,87814,10225,5195,124.032,0.0,41.614736,-79.706434
16360,42039,4203974016,4277232,,1385,598,30.455,0.102,41.679673,-79.890349
16361,42031,4203125272,4278120,,30,39,2.253,0.002,41.391037,-79.340239
16362,42121,4212111080,4279472,,951,546,28.03,0.324,41.450497,-79.965179
16364,42121,4212160472,,,1343,642,33.953,0.01,41.351416,-79.527305
16365,42123,4212329328,4255520,91837,17377,8792,139.275,3.127,41.840178,-79.157366
16370,42053,4205332704,,,330,329,7.924,0.392,41.557054,-79.449018
16371,42123,4212309024,4287224,,3129,1489,31.599,0.0,41.867526,-79.318692
16372,42121,4212114376,4214376,,504,268,0.986,0.003,41.201025,-79.874512
16373,42121,4212164568,4213152,,3050,1726,80.834,0.63,41.208469,-79.698409
16374,42121,4212165560,4239336,,1725,1698,66.078,2.158,41.263498,-79.815085
16401,42049,4204915736,4200628,,4103,1810,55.573,0.334,41.878476,-80.40516
16402,42123,4212327736,4204608,,703,342,25.561,0.035,41.961016,-79.469793
16403,42039,4203965440,4210912,,6980,2605,90.658,0.375,41.792998,-80.014121
16404,42039,4203903408,4212184,,3285,1496,87.756,0.062,41.725553,-79.789045
16405,42123,4212315408,4215400,20314,555,232,18.842,0.0,41.937995,-79.533511
16406,42039,4203975160,4215760,,3479,1484,78.361,0.047,41.750993,-80.363549
16407,42049,4204981760,4216296,20314,10656,5352,113.288,0.343,41.915795,-79.68467
16410,42049,4204923088,4261168,,1995,729,22.733,0.072,41.922751,-80.308509
16411,42049,4204973048,,,1260,582,15.314,1.975,41.978036,-80.447108
16412,42049,4204981224,4222608,26227,9504,4782,80.726,0.641,41.882087,-80.159697
16415,42049,4204924864,4224856,27766,10051,3906,23.338,0.959,42.037572,-80.230286
16416,42123,4212361040,,,136,95,3.833,0.0,41.826056,-79.473138
16417,42049,4204929240,4229232,27766,8378,3967,47.991,0.451,41.969286,-80.310636
16420,42123,4212372600,,,447,368,49.535,0.0,41.694782,-79.545454
16421,42049,4204932520,,27766,2431,1030,10.548,0.015,42.169579,-79.939918
16422,42039,4203975200,4232656,19639,183,60,1.377,0.03,41.667548,-80.310188
16423,42049,4204929240,4240960,27766,3783,1796,9.156,1.14,42.021099,-80.340132
16424,42039,4203915728,4263009,,4367,3550,70.56,14.247,41.661717,-80.448219
16426,42049,4204946224,4246216,27766,3401,1512,28.748,0.127,41.984082,-80.125891
16427,42049,4204949936,4249936,,201,93,0.251,0.0,41.874637,-79.971279
16428,42049,4204954960,4254952,63622,12574,5524,73.554,3.793,42.171464,-79.831488
16430,42049,4204973048,,,174,104,2.43,0.025,42.001124,-80.41894
16433,42039,4203986168,4267120,55900,4993,2072,56.482,0.632,41.737079,-80.140914
16434,42039,4203972688,4272704,,3161,1098,62.812,0.104,41.79672,-79.668697
16435,42039,4203972840,4272872,,1640,791,53.054,0.001,41.822381,-80.382821
16436,42123,4212372952,,,801,564,48.715,0.031,41.862447,-79.506491
16438,42049,4204978312,4278448,,7260,4202,102.43,0.762,41.89124,-79.847468
16440,42039,4203979920,4279912,,780,437,10.443,0.016,41.782549,-80.126018
16441,42049,4204981472,4281456,27766,9255,4033,110.155,0.888,41.95849,-79.983551
16442,42049,4204979928,4281648,,3253,1219,50.369,0.315,42.048573,-79.825747
16443,42049,4204973048,,,1226,544,12.705,0.154,41.940114,-80.47184
16444,42049,4204922608,4222608,26227,1002,0,0.262,0.013,41.871224,-80.120756
16475,42049,4204915736,,,2154,0,0.68,0.0,41.876432,-80.361052
16501,42049,4204924000,4224000,27766,1670,1352,0.716,0.0,42.121053,-80.089435
16502,42049,4204924000,4224000,27766,15567,7922,2.479,0.0,42.110735,-80.101294
16503,42049,4204924000,4224000,27766,16065,6597,2.435,0.0,42.127155,-80.061023
16504,42049,4204924000,4224000,27766,16003,7125,2.758,0.0,42.109409,-80.048842
16505,42049,4204949548,4224000,27766,16136,8545,11.649,9.114,42.11914,-80.127883
16506,42049,4204949548,4224000,27766,24201,10371,13.58,0.084,42.063038,-80.156034
16507,42049,4204924000,4224000,27766,8996,4173,2.089,0.846,42.139495,-80.084963
16508,42049,4204924000,4224000,27766,14801,7318,2.804,0.008,42.097774,-80.091462
16509,42049,4204975208,4224000,27766,28151,12756,38.204,0.029,42.060488,-80.045846
16510,42049,4204932520,4224000,27766,25271,10173,32.97,0.02,42.108991,-79.954821
16511,42049,4204932520,4255572,27766,11555,4717,7.388,5.011,42.167495,-80.005796
16546,42049,4204924000,4224000,27766,1120,0,0.103,0.0,42.103873,-80.053348
16550,42049,4204924000,4224000,27766,0,0,0.01,0.0,42.133783,-80.084949
16563,42049,4204932520,4259212,27766,1543,0,0.437,0.0,42.117759,-79.98577
16601,42013,4201344328,4202184,01792,33169,14909,84.84,0.426,40.552519,-78.372994
16602,42013,4201344328,4202184,01792,27813,13309,14.682,0.023,40.484994,-78.397114
16611,42061,4206162160,4200756,,2656,1141,45.201,0.358,40.571045,-78.091199
16613,42021,4202128336,4203296,,1527,749,31.314,0.0,40.53722,-78.532138
16616,42033,4203304888,,,134,51,1.664,0.005,40.769816,-78.458443
16617,42013,4201302680,4205384,89353,2615,1263,1.48,0.01,40.603389,-78.329834
16619,42021,4202163608,4206976,,315,127,0.484,0.0,40.683688,-78.415842
16620,42033,4203308744,4208744,,387,161,0.71,0.014,40.838548,-78.351235
16621,42061,4206177000,4208896,,665,326,15.772,0.0,40.258409,-78.108868
16622,42061,4206111600,,,85,44,7.154,0.0,40.328538,-78.069211
16623,42061,4206177000,4211632,,498,338,11.148,0.0,40.27623,-78.045563
16624,42021,4202100868,4213384,,204,97,2.905,0.0,40.565126,-78.606652
16625,42013,4201331000,4213992,75475,3688,1683,32.037,0.004,40.282385,-78.519082
16627,42033,4203304888,4214656,,2053,1022,32.317,0.23,40.752924,-78.504133
16630,42021,4202117144,4217136,20980,4845,2135,5.735,0.017,40.462586,-78.580523
16631,42013,4201355592,4217784,,38,16,0.521,0.0,40.27141,-78.347488
16633,42009,4200908880,4218608,,392,105,0.147,0.0,40.159722,-78.232513
16634,42061,4206111208,4220152,,251,153,3.287,0.0,40.210519,-78.173071
16635,42013,4201338592,4258950,01792,12231,5296,56.734,0.073,40.407743,-78.477386
16636,42021,4202118432,4286480,,1081,392,27.909,0.007,40.600253,-78.502014
16637,42013,4201327720,4221176,75475,2418,1102,19.637,0.0,40.342168,-78.470803
16638,42061,4206143424,,,87,35,0.934,0.0,40.338208,-78.20095
16639,42021,4202163608,,,1430,882,47.413,0.048,40.681716,-78.463519
16640,42021,4202184448,,,889,571,13.901,0.104,40.708001,-78.572338
16641,42021,4202128336,4228328,20980,2388,1143,12.935,0.0,40.50784,-78.571435
16645,42033,4203329632,4229632,,190,89,1.905,0.02,40.803608,-78.500731
16646,42021,4202175520,4233080,,2174,990,18.122,0.0,40.689616,-78.726826
16647,42061,4206158832,,,806,499,25.495,5.948,40.380477,-78.113284
16648,42013,4201327600,4235224,01792,14547,6807,60.046,0.468,40.441691,-78.33231
16650,42009,4200935656,4235648,,1789,929,46.643,0.396,40.112053,-78.291955
16651,42033,4203386440,4235928,,5865,1817,39.569,0.235,40.851464,-78.380424
16652,42061,4206137384,4236368,40699,15734,7067,173.689,4.018,40.516022,-77.950096
16654,42061,4206171328,,40699,1975,10,0.064,0.0,40.491883,-78.028557
16655,42009,4200958492,,,1311,652,32.11,0.023,40.227952,-78.502963
16656,42033,4203338432,4237192,,1191,562,27.224,0.118,40.807227,-78.555986
16657,42061,4206143424,4247544,,1388,1012,49.603,2.599,40.338382,-78.160584
16659,42009,4200972656,,,173,82,1.64,0.009,40.160029,-78.388322
16661,42033,4203306288,,,923,483,22.731,0.283,40.831158,-78.461249
16662,42013,4201336496,4247872,,5654,2330,53.848,0.011,40.295119,-78.297418
16664,42009,4200972656,,,2193,771,40.139,0.026,40.177862,-78.420196
16665,42013,4201306872,4254024,01792,378,185,0.467,0.0,40.389037,-78.434914
16666,42033,4203318456,4257232,69130,2800,1353,23.442,0.114,40.867714,-78.313969
16667,42009,4200939720,4267256,,1350,569,18.045,0.064,40.182751,-78.52519
16668,42021,4202113192,4258432,,3564,1613,53.064,2.384,40.653296,-78.622334
16669,42061,4206137384,4259616,,2185,1194,104.773,0.141,40.655953,-77.906687
16670,42009,4200939658,,,78,50,0.644,0.0,40.259035,-78.507702
16671,42033,4203331752,4263360,,404,214,2.441,0.007,40.787627,-78.39824
16672,42009,4200908880,,,194,97,4.166,0.093,40.186673,-78.236493
