Urban Area GEOID,County GEOID,Land Area,Water Area
05410,08037,2.674,0.026
05410,08097,0.968,0.0
05437,22067,10.328,0.041
05464,48021,18.131,0.24
05491,36037,8.069,0.046
05518,45063,5.405,0.063
05518,45081,0.195,0.0
05545,05063,7.843,0.009
05572,18047,1.618,0.002
05572,18137,3.856,0.066
05599,28107,6.28,0.0
05653,36101,2.905,0.095
05680,22005,90.363,0.674
05680,22033,189.838,1.979
05680,22047,12.616,0.08
05680,22063,79.724,0.092
05680,22121,23.799,1.543
05707,26025,47.125,1.602
05707,26077,0.207,0.0
05734,08045,3.064,0.022
05788,13001,6.259,0.005
05842,35017,3.114,0.025
05869,26017,39.932,1.139
05896,48321,10.414,0.016
05923,01003,6.955,0.055
05935,41057,2.981,0.001
05958,51061,4.369,0.008
05977,17017,2.139,0.037
06004,31067,8.691,0.065
06031,45013,43.76,0.548
06058,48199,14.017,0.077
06058,48245,66.387,1.201
06058,48361,15.696,0.195
06085,21183,3.402,0.009
06112,55027,9.384,0.028
06139,54019,13.176,0.027
06139,54081,40.46,0.139
06166,18093,8.508,0.001
06193,42009,3.838,0.104
06220,51019,8.576,0.012
06247,05145,4.474,0.0
06274,48025,6.313,0.0
06290,24005,2.043,0.006
06290,24015,7.111,0.014
06290,24025,98.044,1.375
06301,26067,2.908,0.06
06335,53045,5.349,0.001
06355,23027,3.522,0.018
06382,30031,13.349,0.041
06436,39091,6.211,0.0
06463,42027,7.84,0.0
06490,46019,2.86,0.0
06517,12099,7.21,0.0
06571,27139,3.549,0.0
06625,39077,1.964,0.047
06625,39143,2.507,0.023
06652,53073,50.132,2.915
06679,33005,0.73,0.029
06679,50025,1.691,0.018
06760,17201,12.848,0.297
06760,55105,19.088,0.538
06770,48209,3.359,0.0
06779,45007,4.562,0.011
06841,27007,14.459,1.045
06868,41017,42.407,0.304
06895,45069,7.47,0.494
06922,50003,11.633,0.116
06949,04003,2.714,0.002
07030,17055,4.982,0.02
07057,21157,4.127,0.055
07084,22015,4.476,0.007
07138,26021,52.345,1.244
07138,26159,0.183,0.0
07165,21151,11.478,0.052
07192,33007,4.944,0.174
07219,55047,3.221,0.013
07219,55137,0.233,0.0
07300,05015,4.182,0.0
07381,02050,15.0,0.252
07472,12017,116.781,3.586
07472,12083,2.046,0.104
07508,06071,15.929,0.214
07530,27141,5.424,0.821
07597,12087,8.463,0.254
07624,26107,7.343,0.059
07651,48227,20.643,0.234
07678,51195,6.581,0.089
07705,30111,54.7,0.137
07732,36007,64.294,2.837
07732,36107,5.435,0.229
07759,53073,13.056,0.152
07770,42011,7.952,0.01
07770,42029,0.61,0.002
07786,01073,378.07,1.422
07786,01115,17.744,0.165
07786,01117,113.457,2.004
07813,04003,3.153,0.0
07840,06027,5.49,0.007
07921,38015,31.073,0.161
07921,38059,10.782,0.243
07948,16011,7.513,0.177
07975,55053,3.704,0.003
08002,51121,33.979,0.052
08083,40071,3.844,0.007
08137,31177,8.181,0.0
08164,42063,4.835,0.002
08164,42129,0.385,0.0
08353,35045,6.248,0.034
08380,18105,43.036,0.005
08407,17113,50.362,0.221
08434,42037,19.277,0.535
08434,42079,1.41,0.0
08434,42093,0.058,0.0
08470,37027,0.453,0.0
08470,37189,2.746,0.044
08515,51185,9.336,0.027
08515,54055,29.363,0.112
08542,18179,6.504,0.077
08601,45013,63.241,1.821
08607,45013,21.114,0.034
08607,45053,2.191,0.0
08623,04012,0.591,0.001
08623,06065,5.609,0.042
08650,05093,14.532,0.0
08704,48259,9.651,0.0
08731,22117,10.903,0.03
08785,16001,139.23,1.939
08812,29167,5.916,0.008
08866,47069,4.741,0.0
08920,48147,5.029,0.0
08974,12021,173.775,15.938
08974,12071,69.184,5.081
09005,29187,2.202,0.021
09028,19015,7.609,0.001
09055,37189,18.187,0.068
09109,28117,6.37,0.01
09163,18173,2.829,0.013
09190,29053,5.824,0.022
09200,23015,11.226,4.181
09217,48233,9.417,0.02
09271,25005,84.16,2.082
09271,25009,302.871,19.719
09271,25017,556.085,19.777
09271,25021,282.173,10.992
09271,25023,248.337,7.695
09271,25025,57.198,7.05
09271,25027,37.278,0.822
09271,33015,87.785,3.554
09298,08013,25.449,0.253
09325,32003,5.724,0.0
09352,48337,4.315,0.018
09379,21227,52.176,0.293
09433,39173,11.338,0.064
09460,46093,1.847,0.0
09460,46103,4.236,0.0
09487,26029,5.316,0.066
09514,30031,21.393,0.053
09536,12015,44.682,5.809
09536,12071,1.705,0.111
09536,12081,175.261,13.784
09536,12115,182.633,19.845
09541,36009,0.026,0.0
09541,42083,5.717,0.112
09568,48307,2.926,0.008
09622,27035,16.139,1.006
09649,46099,4.682,0.003
09676,29209,2.412,0.0
09676,29213,32.422,0.443
09703,50025,5.727,0.039
09730,06025,4.763,0.0
09757,18021,6.603,0.019
09801,22099,21.265,0.308
09811,08117,11.15,0.0
09838,48429,4.847,0.004
09865,17027,2.343,0.0
09892,13045,0.922,0.0
09892,13143,6.454,0.008
09946,53035,146.91,31.859
09973,48477,10.264,0.031
10027,37175,13.821,0.004
10081,01053,6.258,0.02
10162,09001,297.711,8.034
10162,09005,5.573,0.066
10162,09009,75.648,2.691
10162,36119,18.36,0.089
10189,34011,12.164,0.186
10243,49003,10.136,0.002
10351,47163,36.564,0.112
10351,51191,20.901,0.022
10351,51520,11.221,0.044
10405,51165,3.599,0.029
10418,36055,6.424,0.054
10567,29115,3.213,0.009
10594,28085,10.035,0.023
10621,41015,7.15,0.127
10648,46011,11.098,0.0
10729,12053,8.351,0.099
10783,39113,4.076,0.0
10810,42065,3.64,0.082
10837,48445,4.357,0.012
10891,34005,17.328,0.569
10945,47075,7.387,0.0
10972,48061,62.102,2.418
10999,48049,13.539,0.0
11026,13127,59.007,1.335
11040,23005,17.514,1.034
11040,23023,9.243,0.514
11053,24021,3.64,0.002
11080,08087,2.52,0.0
11107,39171,5.076,0.007
11127,26021,4.151,0.053
11134,04013,7.782,0.0
11139,04013,2.81,0.0
11161,54097,6.511,0.0
11215,39033,6.856,0.0
11235,06083,1.593,0.001
11242,08015,5.138,0.034
11269,51163,0.05,0.0
11269,51530,3.995,0.001
11296,27171,8.181,1.21
11350,36029,286.343,2.793
11350,36063,54.159,0.274
11377,56019,3.283,0.0
11420,37085,7.141,0.043
11431,04015,33.909,0.31
11431,32003,1.485,0.249
11593,48485,6.482,0.0
11620,16031,5.714,0.399
11620,16067,3.832,0.296
11674,17071,0.384,0.042
11674,19057,20.732,0.046
11728,37001,77.058,0.718
11728,37081,10.217,0.052
11728,37135,4.743,0.022
11755,50007,62.014,0.996
11782,55101,12.709,1.233
11809,48053,3.571,0.021
11863,41025,3.019,0.0
11872,12015,2.795,0.185
11872,12071,1.47,0.134
11890,12119,2.823,0.0
11998,42019,28.463,0.147
12052,30093,15.287,0.0
12079,17141,3.323,0.26
12106,27109,3.087,0.0
12160,26165,10.862,1.945
12241,13131,8.013,0.089
12430,06025,5.41,0.0
12457,13129,20.391,0.055
12538,42051,3.022,0.232
12538,42125,3.028,0.26
12646,06055,2.287,0.018
12655,26061,2.484,0.014
12754,06111,22.479,0.017
12781,06079,2.735,0.0
12808,24019,8.651,0.14
12835,27059,5.941,0.228
12862,39059,10.976,0.05
12916,05103,11.05,0.0
12943,23013,4.067,0.119
13010,45055,34.638,0.257
13024,29029,8.87,0.0
13051,29049,2.729,0.026
13051,29063,1.778,0.006
13078,48331,3.502,0.0
13132,13205,4.744,0.013
13159,21217,8.491,0.119
13170,04025,5.202,0.0
13186,36057,4.019,0.145
13213,36069,13.071,0.041
13217,36053,3.766,0.005
13221,41005,5.898,0.002
13267,08043,15.919,0.012
13294,17057,5.423,0.0
13321,28089,23.707,1.547
13348,36089,2.218,0.092
13361,37087,8.872,0.006
13375,39151,175.982,1.195
13375,39153,4.212,0.056
13456,48381,7.324,0.026
13483,48091,9.235,0.015
13510,12015,0.037,0.0
13510,12051,0.607,0.0
13510,12071,331.157,39.273
13537,17003,0.065,0.0
13537,29031,31.152,0.047
13564,08045,2.638,0.0
13591,17077,21.454,0.496
13591,17199,0.211,0.0
13699,17117,2.987,0.0
13807,35015,19.475,0.254
13861,17193,2.647,0.02
13915,26157,4.543,0.0
13969,48127,4.237,0.013
13996,19027,4.967,0.0
14023,13045,34.417,0.623
14050,21041,3.516,0.024
14158,32005,4.564,0.0
14158,32019,0.811,0.0
14158,32510,20.81,0.065
14185,13015,44.422,0.035
14266,29097,8.584,0.0
14293,36045,2.479,0.001
14347,48365,7.46,0.006
14374,29155,3.25,0.001
14401,04021,21.465,0.0
14482,56025,27.878,0.331
14563,08035,35.706,0.006
14600,06053,3.38,0.086
14644,36039,6.422,0.087
14698,49021,18.298,0.0
14752,19103,0.751,0.0
14752,19113,85.279,0.941
14806,13233,9.57,0.029
14860,39107,6.087,0.07
14887,48419,6.782,0.007
14914,19007,3.48,0.027
14960,21177,4.279,0.003
15022,17027,1.651,0.0
15022,17121,7.728,0.023
15022,17189,0.434,0.0
15076,53041,20.391,0.232
15076,53067,9.998,0.08
15130,31045,2.305,0.0
15184,42055,34.675,0.009
15211,17019,46.524,0.377
15265,20133,5.798,0.011
15300,45063,6.323,0.01
15319,39055,5.224,0.019
15373,19067,4.083,0.069
15400,17029,7.753,0.0
15481,54039,76.747,5.703
15481,54079,16.175,2.262
15508,45015,92.714,1.185
15508,45019,184.215,5.512
15508,45035,62.135,0.264
15535,18019,4.026,0.014
15589,44009,6.321,1.27
15616,26029,4.046,0.123
15643,26045,8.439,0.171
15670,37071,1.784,0.663
15670,37097,66.001,2.912
15670,37119,452.946,5.603
15670,37179,121.555,1.061
15670,45091,15.327,0.06
15724,51003,26.635,0.279
15724,51540,10.238,0.018
15778,13213,16.113,0.009
15832,13047,45.799,0.101
15832,13083,0.412,0.0
15832,13295,25.344,0.015
15832,47065,220.148,2.139
15859,26031,6.028,0.075
15913,53007,7.542,0.044
15940,26161,3.547,0.051
15967,53063,3.298,0.0
15994,45025,6.935,0.049
15994,45069,0.416,0.0
16021,19035,3.138,0.0
16075,37045,0.14,0.0
16075,37071,5.73,0.012
16075,37109,0.306,0.0
16102,24003,0.913,0.028
16102,24009,12.178,0.134
16156,17157,3.962,0.012
16171,36071,4.572,0.008
16183,45023,6.291,0.01
16210,24029,3.029,0.02
16210,24035,1.391,0.001
16237,56021,33.875,0.088
16264,17031,884.075,10.787
16264,17037,2.774,0.002
16264,17043,295.53,6.636
16264,17063,7.716,0.022
16264,17089,198.803,3.598
16264,17093,47.875,0.538
16264,17097,237.285,5.983
16264,17111,73.327,2.302
16264,17197,311.414,4.489
16264,18089,228.189,3.926
16264,18127,50.897,0.666
16291,40051,9.75,0.048
16318,06007,33.715,0.056
16372,48075,3.222,0.014
16426,29117,5.981,0.027
16453,39141,16.394,0.15
16507,51001,4.059,0.127
16561,04025,13.721,0.0
16615,27137,2.182,0.027
16642,36053,2.128,0.002
16642,36067,0.035,0.0
16696,06039,4.825,0.046
16804,72039,8.223,0.012
16804,72091,3.097,0.001
16804,72145,0.257,0.0
16830,04012,3.2,0.0
16885,21015,76.505,0.116
16885,21037,33.351,1.986
16885,21117,70.29,2.507
16885,39017,121.443,0.61
16885,39025,98.921,0.531
16885,39061,288.346,2.358
16885,39165,63.419,0.461
16912,39129,7.376,0.008
17047,01021,9.058,0.055
17101,33019,5.982,0.02
17128,40131,15.431,0.001
17155,19145,2.358,0.0
17209,42031,3.373,0.016
17236,54033,21.126,0.07
17236,54091,0.095,0.0
17263,28027,7.415,0.006
17290,05071,7.793,0.046
17317,21047,13.381,0.011
17317,47125,99.706,0.049
17398,20027,2.516,0.002
17424,36045,2.747,0.509
17426,37101,36.033,0.16
17426,37183,0.229,0.0
17452,42033,7.074,0.113
17479,06033,8.133,0.068
17506,19033,8.624,0.029
17514,06033,6.725,0.041
17533,48251,24.511,0.131
17560,53037,4.527,0.0
17641,28011,8.233,0.0
17668,39035,414.668,1.847
17668,39055,17.754,0.251
17668,39085,121.361,1.067
17668,39093,47.021,0.218
17668,39103,22.399,0.037
17668,39133,19.133,0.884
17668,39153,71.473,0.302
17722,47011,54.974,0.044
17749,48291,4.541,0.0
17776,12051,5.549,0.15
17857,51005,4.352,0.088
17857,51023,0.146,0.0
17870,36069,4.198,0.0
17884,17039,3.646,0.0
17911,18121,0.071,0.0
17911,18165,3.063,0.0
17938,17195,2.717,0.724
17938,19045,16.393,0.554
17965,29083,6.052,0.072
17980,34019,10.465,0.098
17992,37163,9.09,0.056
18019,40039,4.342,0.0
18046,45059,8.463,0.016
18100,55135,2.672,0.094
18127,27017,9.428,0.195
18154,45091,5.186,0.011
18181,06097,3.372,0.0
18208,35009,16.064,0.067
18235,39143,4.796,0.052
18270,17063,4.732,0.089
18270,17197,5.556,0.104
18289,06019,4.262,0.008
18316,72043,13.525,0.001
18316,72133,2.399,0.01
18316,72149,0.337,0.0
18343,36095,4.33,0.004
18370,13023,5.453,0.113
18397,56029,6.909,0.012
18451,16055,46.756,0.774
18478,20125,6.676,0.0
18478,40105,0.764,0.0
18532,20193,2.964,0.0
18559,09011,5.04,0.013
18586,27145,3.211,0.0
18640,32031,3.469,0.0
18667,26023,10.698,0.298
18694,48083,2.788,0.0
18748,48041,81.626,0.069
18755,36009,1.018,0.001
18755,36029,1.32,0.015
18760,40143,3.433,0.018
18775,51193,1.729,0.011
18829,48335,2.785,0.0
18856,08041,200.363,0.405
18883,21001,3.382,0.038
18910,28091,6.298,0.024
18937,29019,67.198,0.274
18964,45039,0.041,0.0
18964,45055,0.081,0.0
18964,45063,174.297,2.79
18964,45079,193.076,4.252
18991,47119,30.146,0.01
19018,18183,6.035,0.019
19045,30029,4.251,0.001
19072,39029,6.168,0.0
19072,39099,0.813,0.07
19099,01081,23.896,0.196
19099,01113,21.487,0.038
19099,13053,7.431,0.001
19099,13145,0.209,0.0
19099,13215,89.834,0.633
19126,18005,26.283,0.324
19126,18081,1.35,0.0
19126,18145,0.229,0.0
19180,28087,20.082,0.279
19207,31141,13.483,0.216
19234,39041,78.646,0.465
19234,39045,22.663,0.024
19234,39049,383.547,7.148
19234,39089,22.246,0.11
19234,39129,2.648,0.0
19234,39159,6.409,0.115
19288,55021,3.96,0.034
19288,55027,0.12,0.001
19342,06011,2.965,0.0
19369,53065,3.226,0.0
19450,13011,0.742,0.002
19450,13157,9.592,0.033
19477,48231,3.342,0.022
19504,06013,175.763,0.653
19531,33013,26.648,0.781
19558,37025,119.31,0.396
19558,37119,7.301,0.031
19558,37159,73.447,0.085
19585,20029,3.125,0.0
19597,36051,4.787,5.05
19612,39007,8.278,0.017
19639,42039,3.768,1.487
19666,53021,2.176,0.0
19686,42051,11.265,0.067
19686,42129,9.338,0.0
19693,18041,7.452,0.015
19801,05045,32.88,0.278
19811,33003,8.759,0.291
19828,47141,45.461,0.095
19862,42089,19.742,0.853
19882,04021,4.139,0.008
19936,41011,14.627,0.922
19970,72057,2.594,0.005
19970,72123,1.849,0.0
19990,41011,3.434,0.114
20044,06031,6.287,0.0
20071,13081,8.598,0.028
20098,28003,12.8,0.015
20125,36091,1.397,0.0
20125,36113,1.563,0.161
20152,13011,1.095,0.001
20152,13137,18.471,0.095
20206,06103,3.047,0.0
20233,36101,10.78,0.207
20247,04019,3.432,0.0
20287,48355,120.475,1.364
20287,48409,8.798,0.067
20314,42049,3.819,0.001
20314,42123,0.343,0.0
20341,48349,15.522,0.134
20368,08083,4.248,0.027
20395,36023,10.344,0.047
