ZCTA5,Place GEOID,Land Area,Water Area
00775,7222589,2111561,493847
00777,7225556,1303387,0
00777,7239574,3887631,41107
00777,7246626,55230,0
00777,7264500,305784,0
00778,7216440,1731907,9249
00778,7232823,3116023,9562
00778,7259386,348562,0
00780,7201089,281524,0
00780,7203174,218977,0
00780,7217050,714003,8171
00780,7221213,975059,0
00780,7259422,244054,0
00780,7263820,3227502,106849
00782,7219665,1165734,34645
00782,7258967,2241977,0
00782,7261977,2730256,0
00783,7220783,5750949,0
00783,7258064,2205371,0
00784,7220353,1437556,0
00784,7232221,9467542,1093
00784,7238671,1430631,0
00784,7257075,798790,2148
00784,7264400,2358721,0
00791,7203196,1148974,0
00791,7204701,1675019,0
00791,7209250,619467,0
00791,7212568,158056,0
00791,7212613,995166,0
00791,7235532,12762268,5903
00791,7240563,501330,0
00791,7258602,7778056,280300
00794,7205690,1983226,0
00795,7201089,2042392,19577
00795,7213925,956566,5288
00795,7231877,1257140,0
00795,7238972,3896654,43111
00795,7247615,1192478,0
00795,7261545,1636701,7391
00795,7264127,1318209,0
00795,7270706,841799,0
00901,7276770,2628102,4169259
00906,7276770,8247,0
00907,7276770,5291703,5193350
00909,7276770,1690949,115273
00911,7276770,1232506,684579
00912,7276770,960485,0
00913,7276770,839091,2158608
00915,7212806,811424,44176
00915,7276770,2819105,776192
00917,7212806,960855,46271
00917,7276770,2575197,0
00918,7276770,6987285,149509
00920,7276770,9348956,2452161
00921,7276770,7948284,0
00923,7212806,10002,0
00923,7276770,5195881,937118
00924,7214290,422648,0
00924,7276770,11655108,958843
00925,7276770,1154387,0
00926,7232522,354216,0
00926,7276770,33530375,111446
00926,7283606,2435549,26289
00927,7276770,6275250,5830
00934,7206593,1136003,25858
00934,7232522,2537923,1283
00949,7208722,503150,0
00949,7211581,1352781,0
00949,7211597,93598,0
00949,7212441,7270148,2557
00949,7212560,2585292,5814
00949,7215193,1668604,2847605
00949,7236263,1405799,0
00949,7243294,96453,0
00949,7250260,7000452,412928
00949,7250270,122393,0
00949,7257612,135098,0
00949,7274189,27273,0
00949,7276683,2962875,32785
00949,7282617,521557,0
00949,7282692,157148,0
00949,7286250,215276,0
00949,7286509,26232,0
00949,7286584,132022,0
00949,7287240,64631,0
00949,7287272,194678,1325
00951,7282617,999862,49709
00952,7226362,169341,0
00952,7250260,35632,0
00952,7274189,2835101,0
00953,7212441,506448,1138
00953,7229813,1664892,3268
00953,7235403,1715962,1965
00953,7255355,843013,0
00953,7257806,3971768,0
00953,7282488,1817751,39231
00956,7206593,24566004,24837
00957,7206593,10479373,1407
00959,7206593,15574820,81793
00959,7232522,117619,0
00960,7206593,3632363,28932
00961,7206593,13679027,168929
00961,7215193,133637,0
00962,7215193,10713320,2767485
00962,7232522,1760361,4135
00965,7232522,2344448,328905
00966,7206593,426760,0
00966,7232522,5580771,0
00966,7276770,519493,0
00968,7232522,1180790,0
00969,7206593,491420,0
00969,7232522,10412374,52933
00969,7276770,1461401,0
00971,7232522,6913803,38552
00976,7214290,1124041,0
00976,7276770,996879,239
00976,7283606,16728064,304249
00979,7214290,10071322,7179638
00982,7214290,3736529,19112
00983,7214290,11192161,996759
00985,7214290,10047107,369647
00987,7214290,17039474,220887
01001,2500840,29247431,2127894
01002,2501370,69465283,326030
01003,2501370,2082670,14001
01005,2503705,4097646,0
01007,2504790,13030679,5582
01008,2506050,2979218,5519
01009,2552144,1806483,0
01011,2513450,3612426,83760
01013,2513660,14659172,1514245
01020,2513660,32197131,988428
01020,2567000,76505,0
01022,2513660,12468872,2118
01027,2519370,34501970,727031
01027,2546330,226974,2442
01028,2567000,17042,0
01030,2500840,31155981,495447
01033,2526500,9000737,10249
01038,2529230,6344540,220591
01040,2530840,54816657,4226508
01050,2531750,11989803,294737
01053,2546330,14893903,229058
01057,2542180,8688783,28657
01060,2546330,28147405,3248228
01062,2546330,45199186,416742
01063,2546330,228872,0
01069,2552144,70157646,786468
01071,2558615,5961070,107427
01077,2576030,93435,0
01079,2552144,4163329,50403
01080,2552144,4313061,256694
01082,2552144,180879,0
01082,2572845,16110077,351883
01083,2573055,3326627,37744
01085,2576030,119720914,2729963
01089,2577890,43331574,2086320
01092,2578445,3282429,15550
01095,2552144,1152121,0
01095,2579705,14482898,162736
01103,2567000,1126124,0
01104,2567000,13551122,387460
01105,2567000,3123274,302887
01106,2536335,23541604,1310625
01106,2567000,1284934,140613
01107,2567000,3994637,334988
01108,2567000,8856458,264344
01109,2567000,14092648,501561
01118,2567000,9312986,243603
01119,2567000,9144298,251455
01128,2567000,2872228,1287
01129,2567000,8899440,227899
01151,2567000,6135002,479310
01201,2553960,104812683,5165042
01220,2500590,6344667,66047
01225,2513310,993406,0
01230,2526780,3732515,121046
01230,2531295,1190421,222590
01236,2531295,1117892,0
01238,2534620,3430977,94415
01238,2535040,86349,21462
01240,2534935,5168185,25436
01240,2535040,140835,713
01242,2535040,1189984,232
01247,2546225,52697981,691989
01267,2579950,8801262,83285
01301,2527060,55458172,1193222
01331,2502515,21203904,724052
01342,2516635,4757267,82875
01344,2541410,1039042,108923
01349,2541410,1324454,10285
01360,2547800,11533829,45515
01364,2551230,15520207,168116
01366,2553085,3195125,0
01370,2561205,6809236,215870
01373,2563620,8169692,284594
01376,2570815,4923597,1035972
01420,2523875,71468187,759963
01420,2535075,6382072,1033257
01430,2562780,7728985,28425
01432,2503040,3402518,162645
01432,2516840,4235413,57197
01434,2503040,32400,0
01434,2516840,11624351,176690
01436,2503355,6471698,208899
01440,2525485,57154590,2453702
01450,2527445,4330149,2141
01453,2535075,68269233,1190779
01460,2536020,9167554,423043
01462,2523875,596513,0
01462,2537385,9835029,0
01463,2520310,3667271,96198
01463,2552770,5363928,183917
01464,2516840,1710913,0
01464,2561555,3414819,43936
01468,2503355,173404,0
01469,2570325,4386815,79592
01475,2580370,5866654,448335
01506,2509070,2984586,0
01510,2514430,3865771,7056
01515,2518595,4190724,403393
01516,2518875,8824840,312007
01518,2523840,6056419,101053
01521,2530630,6872784,1587407
01523,2564460,3337685,39217
01532,2546785,8506944,73273
01534,2579495,901656,0
01535,2547100,3821554,0
01540,2551790,8972223,576650
01543,2558790,7660901,604768
01545,2582000,51399,129462
01550,2563345,52416905,1612700
01561,2564460,97580,0
