"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0500000US01001","Autauga County, Alabama","58761","*****",
"0500000US01003","Baldwin County, Alabama","233420","*****",
"0500000US01005","Barbour County, Alabama","24877","*****",
"0500000US01007","Bibb County, Alabama","22251","*****",
"0500000US01009","Blount County, Alabama","59077","*****",
"0500000US01011","Bullock County, Alabama","10328","*****",
"0500000US01013","Butler County, Alabama","18981","*****",
"0500000US01015","Calhoun County, Alabama","116162","*****",
"0500000US01017","Chambers County, Alabama","34612","*****",
"0500000US01019","Cherokee County, Alabama","25069","*****",
"0500000US01021","Chilton County, Alabama","45140","*****",
"0500000US01023","Choctaw County, Alabama","12669","*****",
"0500000US01025","Clarke County, Alabama","23058","*****",
"0500000US01027","Clay County, Alabama","14209","*****",
"0500000US01029","Cleburne County, Alabama","15144","*****",
"0500000US01031","Coffee County, Alabama","53559","*****",
"0500000US01033","Colbert County, Alabama","57270","*****",
"0500000US01035","Conecuh County, Alabama","11576","*****",
"0500000US01037","Coosa County, Alabama","10329","*****",
"0500000US01039","Covington County, Alabama","37542","*****",
"0500000US01041","Crenshaw County, Alabama","13205","*****",
"0500000US01043","Cullman County, Alabama","88284","*****",
"0500000US01045","Dale County, Alabama","49455","*****",
"0500000US01047","Dallas County, Alabama","38326","*****",
"0500000US01049","DeKalb County, Alabama","71680","*****",
"0500000US01051","Elmore County, Alabama","87694","*****",
"0500000US01053","Escambia County, Alabama","36755","*****",
"0500000US01055","Etowah County, Alabama","103348","*****",
"0500000US01057","Fayette County, Alabama","16297","*****",
"0500000US01059","Franklin County, Alabama","32011","*****",
"0500000US01061","Geneva County, Alabama","26647","*****",
"0500000US01063","Greene County, Alabama","7706","*****",
"0500000US01065","Hale County, Alabama","14742","*****",
"0500000US01067","Henry County, Alabama","17282","*****",
"0500000US01069","Houston County, Alabama","107040","*****",
"0500000US01071","Jackson County, Alabama","52618","*****",
"0500000US01073","Jefferson County, Alabama","672265","*****",
"0500000US01075","Lamar County, Alabama","13885","*****",
"0500000US01077","Lauderdale County, Alabama","94329","*****",
"0500000US01079","Lawrence County, Alabama","33116","*****",
"0500000US01081","Lee County, Alabama","175126","*****",
"0500000US01083","Limestone County, Alabama","104199","*****",
"0500000US01085","Lowndes County, Alabama","10153","*****",
"0500000US01087","Macon County, Alabama","19198","*****",
"0500000US01089","Madison County, Alabama","389781","*****",
"0500000US01091","Marengo County, Alabama","19180","*****",
"0500000US01093","Marion County, Alabama","29203","*****",
"0500000US01095","Marshall County, Alabama","97923","*****",
"0500000US01097","Mobile County, Alabama","413878","*****",
"0500000US01099","Monroe County, Alabama","19816","*****",
"0500000US01101","Montgomery County, Alabama","228132","*****",
"0500000US01103","Morgan County, Alabama","123102","*****",
"0500000US01105","Perry County, Alabama","8479","*****",
"0500000US01107","Pickens County, Alabama","18925","*****",
"0500000US01109","Pike County, Alabama","32997","*****",
"0500000US01111","Randolph County, Alabama","22179","*****",
"0500000US01113","Russell County, Alabama","58849","*****",
"0500000US01115","St. Clair County, Alabama","91719","*****",
"0500000US01117","Shelby County, Alabama","223916","*****",
"0500000US01119","Sumter County, Alabama","12196","*****",
"0500000US01121","Talladega County, Alabama","81105","*****",
"0500000US01123","Tallapoosa County, Alabama","41251","*****",
"0500000US01125","Tuscaloosa County, Alabama","231558","*****",
"0500000US01127","Walker County, Alabama","64978","*****",
"0500000US01129","Washington County, Alabama","15434","*****",
"0500000US01131","Wilcox County, Alabama","10441","*****",
"0500000US01133","Winston County, Alabama","23655","*****",
"0500000US02013","Aleutians East Borough, Alaska","3407","*****",
"0500000US02016","Aleutians West Census Area, Alaska","5219","*****",
"0500000US02020","Anchorage Municipality, Alaska","290674","*****",
"0500000US02050","Bethel Census Area, Alaska","18538","*****",
"0500000US02060","Bristol Bay Borough, Alaska","854","87",
"0500000US02063","Chugach Census Area, Alaska","7000","*****",
"0500000US02066","Copper River Census Area, Alaska","2614","*****",
"0500000US02068","Denali Borough, Alaska","2101","92",
"0500000US02070","Dillingham Census Area, Alaska","4854","*****",
"0500000US02090","Fairbanks North Star Borough, Alaska","96299","*****",
"0500000US02100","Haines Borough, Alaska","2079","*****",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","2329","*****",
"0500000US02110","Juneau City and Borough, Alaska","32108","*****",
"0500000US02122","Kenai Peninsula Borough, Alaska","59235","*****",
"0500000US02130","Ketchikan Gateway Borough, Alaska","13910","*****",
"0500000US02150","Kodiak Island Borough, Alaska","13065","*****",
"0500000US02158","Kusilvak Census Area, Alaska","8372","*****",
"0500000US02164","Lake and Peninsula Borough, Alaska","999","92",
"0500000US02170","Matanuska-Susitna Borough, Alaska","108661","*****",
"0500000US02180","Nome Census Area, Alaska","10018","*****",
"0500000US02185","North Slope Borough, Alaska","10924","*****",
"0500000US02188","Northwest Arctic Borough, Alaska","7682","*****",
"0500000US02195","Petersburg Borough, Alaska","3374","*****",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","5799","*****",
"0500000US02220","Sitka City and Borough, Alaska","8462","*****",
"0500000US02230","Skagway Municipality, Alaska","1303","99",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","6888","*****",
"0500000US02275","Wrangell City and Borough, Alaska","2134","*****",
"0500000US02282","Yakutat City and Borough, Alaska","564","76",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","5355","*****",
"0500000US04001","Apache County, Arizona","66054","*****",
"0500000US04003","Cochise County, Arizona","125504","*****",
"0500000US04005","Coconino County, Arizona","144705","*****",
"0500000US04007","Gila County, Arizona","53419","*****",
"0500000US04009","Graham County, Arizona","38453","*****",
"0500000US04011","Greenlee County, Arizona","9483","*****",
"0500000US04012","La Paz County, Arizona","16681","*****",
"0500000US04013","Maricopa County, Arizona","4430871","*****",
"0500000US04015","Mohave County, Arizona","214229","*****",
"0500000US04017","Navajo County, Arizona","107110","*****",
"0500000US04019","Pima County, Arizona","1042393","*****",
"0500000US04021","Pinal County, Arizona","433338","*****",
"0500000US04023","Santa Cruz County, Arizona","47838","*****",
"0500000US04025","Yavapai County, Arizona","237830","*****",
"0500000US04027","Yuma County, Arizona","204374","*****",
"0500000US05001","Arkansas County, Arkansas","17024","*****",
"0500000US05003","Ashley County, Arkansas","19018","*****",
"0500000US05005","Baxter County, Arkansas","41801","*****",
"0500000US05007","Benton County, Arkansas","286528","*****",
"0500000US05009","Boone County, Arkansas","37662","*****",
"0500000US05011","Bradley County, Arkansas","10461","*****",
"0500000US05013","Calhoun County, Arkansas","4773","*****",
"0500000US05015","Carroll County, Arkansas","28362","*****",
"0500000US05017","Chicot County, Arkansas","10234","*****",
"0500000US05019","Clark County, Arkansas","21469","*****",
"0500000US05021","Clay County, Arkansas","14537","*****",
"0500000US05023","Cleburne County, Arkansas","24948","*****",
"0500000US05025","Cleveland County, Arkansas","7548","*****",
"0500000US05027","Columbia County, Arkansas","22707","*****",
"0500000US05029","Conway County, Arkansas","20782","*****",
"0500000US05031","Craighead County, Arkansas","111038","*****",
"0500000US05033","Crawford County, Arkansas","60593","*****",
"0500000US05035","Crittenden County, Arkansas","47945","*****",
"0500000US05037","Cross County, Arkansas","16827","*****",
"0500000US05039","Dallas County, Arkansas","6472","*****",
"0500000US05041","Desha County, Arkansas","11285","*****",
"0500000US05043","Drew County, Arkansas","17309","*****",
"0500000US05045","Faulkner County, Arkansas","124611","*****",
"0500000US05047","Franklin County, Arkansas","17160","*****",
"0500000US05049","Fulton County, Arkansas","12183","*****",
"0500000US05051","Garland County, Arkansas","100021","*****",
"0500000US05053","Grant County, Arkansas","18022","*****",
"0500000US05055","Greene County, Arkansas","45954","*****",
"0500000US05057","Hempstead County, Arkansas","20037","*****",
"0500000US05059","Hot Spring County, Arkansas","33129","*****",
"0500000US05061","Howard County, Arkansas","12779","*****",
"0500000US05063","Independence County, Arkansas","37910","*****",
"0500000US05065","Izard County, Arkansas","13748","*****",
"0500000US05067","Jackson County, Arkansas","16784","*****",
"0500000US05069","Jefferson County, Arkansas","66934","*****",
"0500000US05071","Johnson County, Arkansas","25925","*****",
"0500000US05073","Lafayette County, Arkansas","6277","*****",
"0500000US05075","Lawrence County, Arkansas","16258","*****",
"0500000US05077","Lee County, Arkansas","8666","*****",
"0500000US05079","Lincoln County, Arkansas","13016","*****",
"0500000US05081","Little River County, Arkansas","12024","*****",
"0500000US05083","Logan County, Arkansas","21247","*****",
"0500000US05085","Lonoke County, Arkansas","74292","*****",
"0500000US05087","Madison County, Arkansas","16737","*****",
