ZCTA5,Place GEOID,Land Area,Water Area
00751,7285111,1.477,0.0
00754,7237166,0.216,0.0
00754,7277027,1.853,0.022
00757,7225771,0.16,0.0
00757,7238241,1.284,0.48
00757,7244089,0.264,0.001
00757,7259440,0.558,0.004
00757,7263568,0.895,1.054
00757,7278145,1.021,0.002
00765,7227190,1.271,0.0
00765,7286014,0.58,0.299
00766,7286831,1.297,0.0
00767,7219837,1.137,0.0
00767,7225685,0.318,0.0
00767,7251657,0.916,0.0
00767,7263525,0.693,0.0
00767,7272555,0.581,0.0
00767,7287863,1.299,0.0
00769,7218719,1.823,0.0
00769,7247013,0.788,0.0
00769,7251055,1.487,0.0
00769,7257978,0.59,0.0
00771,7208099,1.375,0.002
00771,7240563,0.78,0.0
00771,7244390,1.322,0.0
00771,7264500,0.14,0.0
00772,7246368,0.516,0.14
00772,7280639,0.168,0.052
00772,7285971,0.318,0.339
00773,7247787,1.062,0.482
00773,7263310,0.609,0.233
00773,7268771,1.096,0.0
00775,7222589,0.815,0.191
00777,7225556,0.503,0.0
00777,7239574,1.501,0.016
00777,7246626,0.021,0.0
00777,7264500,0.118,0.0
00778,7216440,0.669,0.004
00778,7232823,1.203,0.004
00778,7259386,0.135,0.0
00780,7201089,0.109,0.0
00780,7203174,0.085,0.0
00780,7217050,0.276,0.003
00780,7221213,0.376,0.0
00780,7259422,0.094,0.0
00780,7263820,1.246,0.041
00782,7219665,0.45,0.013
00782,7258967,0.866,0.0
00782,7261977,1.054,0.0
00783,7220783,2.22,0.0
00783,7258064,0.851,0.0
00784,7220353,0.555,0.0
00784,7232221,3.655,0.0
00784,7238671,0.552,0.0
00784,7257075,0.308,0.001
00784,7264400,0.911,0.0
00791,7203196,0.444,0.0
00791,7204701,0.647,0.0
00791,7209250,0.239,0.0
00791,7212568,0.061,0.0
00791,7212613,0.384,0.0
00791,7235532,4.928,0.002
00791,7240563,0.194,0.0
00791,7258602,3.003,0.108
00794,7205690,0.766,0.0
00795,7201089,0.789,0.008
00795,7213925,0.369,0.002
