GEOID|GEOIDFQ|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
02143|400C200US02143|Amory, MS Urban Area|14519987|27224|5.606|0.011|33.983635|-88.478932
02170|400C200US02170|Amsterdam, NY Urban Area|26044813|839958|10.056|0.324|42.952606|-74.192053
02197|400C200US02197|Anaconda-Deer Lodge County, MT Urban Area|6759740|0|2.61|0.|46.132279|-112.96175
02224|400C200US02224|Anacortes, WA Urban Area|25528149|908949|9.856|0.351|48.491868|-122.639049
02251|400C200US02251|Anadarko, OK Urban Area|5450708|0|2.105|0.|35.071102|-98.24162
02278|400C200US02278|Anamosa, IA Urban Area|6854913|8863|2.647|0.003|42.110052|-91.27386
02305|400C200US02305|Anchorage, AK Urban Area|237670960|2698341|91.765|1.042|61.169584|-149.854154
02332|400C200US02332|Anchorage Northeast, AK Urban Area|45797414|476436|17.682|0.184|61.325491|-149.537602
02359|400C200US02359|Andalusia, AL Urban Area|17775440|103830|6.863|0.04|31.305196|-86.479475
02386|400C200US02386|Anderson, IN Urban Area|135120918|395555|52.17|0.153|40.086247|-85.676223
02420|400C200US02420|Anderson--Clemson, SC Urban Area|248464668|7321967|95.933|2.827|34.553063|-82.696322
02467|400C200US02467|Andrews, TX Urban Area|24644842|30529|9.515|0.012|32.323743|-102.541184
02500|400C200US02500|Angleton, TX Urban Area|28334679|48854|10.94|0.019|29.170738|-95.428262
02548|400C200US02548|Angola, IN Urban Area|32179206|5899985|12.424|2.278|41.670453|-85.030874
02575|400C200US02575|Anna, IL Urban Area|11470852|57886|4.429|0.022|37.461878|-89.248104
02602|400C200US02602|Ann Arbor, MI Urban Area|371595037|13294485|143.474|5.133|42.237327|-83.649391
02629|400C200US02629|Anniston--Oxford, AL Urban Area|204335820|1105228|78.895|0.427|33.668326|-85.833914
02656|400C200US02656|Antigo, WI Urban Area|12555575|120062|4.848|0.046|45.142639|-89.153197
02683|400C200US02683|Antioch, CA Urban Area|189960781|2034815|73.344|0.786|37.985757|-121.79064
02764|400C200US02764|Appleton, WI Urban Area|279143599|10660970|107.778|4.116|44.250467|-88.409398
02791|400C200US02791|Arab, AL Urban Area|22520968|279456|8.695|0.108|34.330357|-86.500846
02818|400C200US02818|Aransas Pass--Port Aransas--Ingleside, TX Urban Area|64145977|569782|24.767|0.22|27.901076|-97.153623
02912|400C200US02912|Arcadia, FL Urban Area|25910200|15770|10.004|0.006|27.208552|-81.852524
02930|400C200US02930|Arcata, CA Urban Area|20529811|118564|7.927|0.046|40.877492|-124.078895
03007|400C200US03007|Ardmore, OK Urban Area|39132744|124869|15.109|0.048|34.177688|-97.13738
03034|400C200US03034|Arecibo, PR Urban Area|195699848|228278|75.56|0.088|18.454313|-66.810062
03088|400C200US03088|Arizona City, AZ Urban Area|11238099|198208|4.339|0.077|32.749832|-111.673175
03115|400C200US03115|Arkadelphia, AR Urban Area|16051586|1130|6.198|0.|34.126249|-93.068945
03142|400C200US03142|Arkansas City, KS Urban Area|17692197|0|6.831|0.|37.065618|-97.040529
03158|400C200US03158|Arlington, TN Urban Area|20243856|72871|7.816|0.028|35.284261|-89.665147
03196|400C200US03196|Arroyo Grande--Grover Beach--Pismo Beach, CA Urban Area|44223357|158952|17.075|0.061|35.123896|-120.604569
03223|400C200US03223|Artesia, NM Urban Area|17739532|16866|6.849|0.007|32.843287|-104.40931
03250|400C200US03250|Arvin, CA Urban Area|6073680|0|2.345|0.|35.203159|-118.832837
03262|400C200US03262|Asbury Lake--Middleburg, FL Urban Area|59604909|700279|23.014|0.27|30.060172|-81.852388
03277|400C200US03277|Ashburn, GA Urban Area|10999807|108350|4.247|0.042|31.696905|-83.647136
03331|400C200US03331|Asheboro, NC Urban Area|71009808|315965|27.417|0.122|35.734505|-79.812027
03358|400C200US03358|Asheville, NC Urban Area|643823303|4934173|248.582|1.905|35.509787|-82.522474
03385|400C200US03385|Ashland, OH Urban Area|25523307|92994|9.855|0.036|40.865865|-82.318339
03395|400C200US03395|Ashland, PA Urban Area|3674775|0|1.419|0.|40.793666|-76.284347
03412|400C200US03412|Ashland, WI Urban Area|10936251|2466|4.223|0.001|46.587261|-90.877925
03466|400C200US03466|Ashtabula, OH Urban Area|56413236|453506|21.781|0.175|41.871766|-80.815232
03493|400C200US03493|Ashville, OH Urban Area|9860510|0|3.807|0.|39.714159|-82.974496
03520|400C200US03520|Aspen, CO Urban Area|13496004|0|5.211|0.|39.198226|-106.84115
