GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
02764	Appleton, WI Urbanized Area	U	268537555	10897560	103.683	4.208	44.24668	-88.411096                                                                                                                
02773	Apple Valley, OH Urban Cluster	C	12284409	2046677	4.743	0.79	40.438206	-82.34901                                                                                                                  
02791	Arab, AL Urban Cluster	C	21703069	301947	8.38	0.117	34.320987	-86.513807                                                                                                                          
02825	Arbuckle, CA Urban Cluster	C	1871507	0	0.723	0.	39.016725	-122.06022                                                                                                                              
02845	Arcade, NY Urban Cluster	C	6117043	0	2.362	0.	42.534572	-78.466924                                                                                                                                
02899	Arcadia, LA Urban Cluster	C	7043337	0	2.719	0.	32.552379	-92.92374                                                                                                                                
02901	Arcadia, WI Urban Cluster	C	5464000	0	2.11	0.	44.249691	-91.490913                                                                                                                                
02912	Arcadia--Southeast Arcadia, FL Urban Cluster	C	26177160	15770	10.107	0.006	27.213341	-81.852437                                                                                                   
02926	Arcata--McKinleyville, CA Urban Cluster	C	42587807	329337	16.443	0.127	40.914486	-124.08936                                                                                                       
02953	Archbold, OH Urban Cluster	C	9801480	37920	3.784	0.015	41.52504	-84.294163                                                                                                                        
02965	Archer Lodge--Clayton, NC Urban Cluster	C	52270751	474780	20.182	0.183	35.662546	-78.367852                                                                                                       
02980	Arcola, IL Urban Cluster	C	3476399	44848	1.342	0.017	39.684596	-88.302758                                                                                                                         
03007	Ardmore, OK Urban Cluster	C	30240077	76559	11.676	0.03	34.178548	-97.14166                                                                                                                        
03034	Arecibo, PR Urbanized Area	U	217696324	1556484	84.053	0.601	18.454601	-66.807974                                                                                                                  
03088	Arizona City, AZ Urban Cluster	C	12127859	198208	4.683	0.077	32.749832	-111.673175                                                                                                                
03115	Arkadelphia, AR Urban Cluster	C	14919780	0	5.761	0.	34.12448	-93.067856                                                                                                                           
03142	Arkansas City, KS Urban Cluster	C	24888728	143725	9.61	0.055	37.060526	-97.034648                                                                                                                 
03158	Arlington, TN Urban Cluster	C	20072830	87911	7.75	0.034	35.280006	-89.662685                                                                                                                      
03196	Arroyo Grande--Grover Beach, CA Urbanized Area	U	59603961	233076	23.013	0.09	35.118449	-120.60761                                                                                                 
03223	Artesia, NM Urban Cluster	C	16868171	10805	6.513	0.004	32.837488	-104.414485                                                                                                                      
03250	Arvin, CA Urban Cluster	C	11208188	0	4.328	0.	35.203006	-118.832555                                                                                                                               
03277	Ashburn, GA Urban Cluster	C	8217954	63594	3.173	0.025	31.700807	-83.650098                                                                                                                        
03304	Ashdown, AR Urban Cluster	C	9323595	0	3.6	0.	33.679074	-94.125637                                                                                                                                 
03331	Asheboro, NC Urban Cluster	C	85265573	197574	32.921	0.076	35.731302	-79.804243                                                                                                                    
03358	Asheville, NC Urbanized Area	U	686038200	6240501	264.881	2.409	35.537143	-82.664118                                                                                                               
03365	Ashland, MO Urban Cluster	C	4723907	0	1.824	0.	38.771529	-92.259124                                                                                                                               
03375	Ashland, NE Urban Cluster	C	3238103	66446	1.25	0.026	41.041145	-96.364131                                                                                                                         
03385	Ashland, OH Urban Cluster	C	20710753	49269	7.996	0.019	40.863589	-82.317007                                                                                                                       
03395	Ashland, PA Urban Cluster	C	14631799	0	5.649	0.	40.772142	-76.320872                                                                                                                              
03412	Ashland, WI Urban Cluster	C	11167661	5410	4.312	0.002	46.578646	-90.881298                                                                                                                        
03439	Ashland City, TN Urban Cluster	C	8170353	0	3.155	0.	36.276595	-87.051506                                                                                                                          
03466	Ashtabula, OH Urban Cluster	C	56350493	418360	21.757	0.162	41.877017	-80.78496                                                                                                                    
03493	Ashville, OH Urban Cluster	C	13968809	530943	5.393	0.205	39.718519	-82.967109                                                                                                                     
03520	Aspen, CO Urban Cluster	C	11767611	0	4.544	0.	39.199234	-106.840252                                                                                                                               
03547	Astoria, OR Urban Cluster	C	23505598	1642725	9.076	0.634	46.17404	-123.835724                                                                                                                     
03601	Atchison, KS--MO Urban Cluster	C	15614150	160893	6.029	0.062	39.570588	-95.137251                                                                                                                 
03655	Athens, AL Urban Cluster	C	69992038	500204	27.024	0.193	34.811825	-86.952175                                                                                                                      
03682	Athens, OH Urban Cluster	C	25663962	249370	9.909	0.096	39.327239	-82.111599                                                                                                                       
03709	Athens, TN Urban Cluster	C	38397478	0	14.825	0.	35.448059	-84.600203                                                                                                                              
03736	Athens, TX Urban Cluster	C	23897880	64685	9.227	0.025	32.201604	-95.847373                                                                                                                        
03763	Athens-Clarke County, GA Urbanized Area	U	254843272	2504076	98.396	0.967	33.942089	-83.398272                                                                                                     
03790	Athol, MA Urban Cluster	C	24221424	1053681	9.352	0.407	42.573322	-72.296365                                                                                                                       
03817	Atlanta, GA Urbanized Area	U	6853090913	92169978	2645.993	35.587	33.824102	-84.331858                                                                                                             
03844	Atlanta, TX Urban Cluster	C	19353384	101572	7.472	0.039	33.125525	-94.167911                                                                                                                      
03871	Atlantic, IA Urban Cluster	C	7272982	101142	2.808	0.039	41.398446	-95.006333                                                                                                                      
03898	Atlantic City, NJ Urbanized Area	U	325874930	11795647	125.821	4.554	39.371191	-74.590455                                                                                                          
03925	Atmore, AL Urban Cluster	C	12225380	40082	4.72	0.015	31.021931	-87.487418                                                                                                                         
03957	Atoka, TN Urban Cluster	C	53447835	220505	20.636	0.085	35.429295	-89.802671                                                                                                                       
