ZCTA5,Urban Area GEOID,Population,Housing Units,Land Area,Water Area
99501,02305,17603,8588,17948681,207034
99502,02305,24143,9205,32139753,1520174
99503,02305,14553,6666,8714189,15199
99504,02305,40914,15642,16479886,102891
99505,02305,5927,1142,4201113,0
99506,02305,7094,1887,18258938,0
99507,02305,37437,14315,29659688,33392
99508,02305,35857,13489,17974797,211181
99513,02305,0,0,36058,0
99515,02305,22284,8221,23042906,219674
99516,02305,18561,6473,32337668,27199
99517,02305,16645,7358,8508871,320033
99518,02305,10225,4431,9781975,0
99505,02332,0,0,24007,0
99567,02332,7087,2625,21421406,32107
99577,02332,21481,7491,20824019,331343
36420,02359,5604,2776,11461971,31346
36421,02359,1051,411,3465121,1116
46001,02386,6271,2976,11558841,11855
46011,02386,11887,5357,24044937,0
46012,02386,17198,7853,31880147,390009
46013,02386,17253,8814,41623820,27459
46016,02386,19225,10004,16488664,0
46017,02386,4645,2178,15246510,68785
46040,02386,85,39,381809,0
46064,02386,9954,2749,25538555,255487
47334,02386,1615,700,4337165,0
29621,02413,33150,14685,85314552,2491302
29624,02413,12225,6119,25471193,45525
29625,02413,22587,10586,54489246,617183
29626,02413,5915,2587,15942989,80620
29627,02413,1335,459,7837024,39937
29684,02413,490,214,2825863,19355
29510,02440,3903,1709,7780782,0
79714,02467,12346,4841,16192925,30529
95222,02494,3751,1853,6902231,23589
46703,02548,10635,5415,22132418,3943929
46737,02548,437,365,1051854,0
46776,02548,20,6,45750,0
46779,02548,104,42,358857,0
62906,02575,4552,2121,7362351,32847
62920,02575,0,0,11436,0
62952,02575,1526,694,2932478,14366
75409,02581,7708,2575,11421146,30010
75495,02581,3038,1234,6666725,0
55302,02590,3262,1460,7049035,0
48103,02602,49343,22980,63263260,720916
48104,02602,38315,16456,20140444,640396
48105,02602,29506,13914,31232181,1220252
48108,02602,26078,11480,42969717,100416
48109,02602,6904,8,2529757,0
48111,02602,34887,16244,90822530,5312730
48130,02602,6795,2681,22058786,210351
48160,02602,867,343,3584010,194749
48176,02602,16391,6498,33156138,267986
48188,02602,835,353,1143709,0
48191,02602,1132,468,3988336,0
48197,02602,58019,25468,60707946,2844222
48198,02602,36950,17085,37689787,2086073
36201,02629,16657,8109,38996666,72812
36203,02629,17587,7244,56881950,676891
36205,02629,373,185,3187207,4310
36206,02629,10368,4635,25898356,95280
36207,02629,13987,6951,42808027,169883
36250,02629,1081,463,5589622,381
36260,02629,2255,950,7659991,23497
36265,02629,12742,5508,23228432,73195
36268,02629,282,122,3644634,25664
36277,02629,4464,1923,14171923,242898
54409,02656,8158,3916,10833996,84337
94509,02683,62256,22413,39694205,448665
94511,02683,2137,1327,14411147,0
94513,02683,52254,17751,37691690,0
94520,02683,0,0,38480,0
94531,02683,40250,12480,23303604,0
94548,02683,123,62,389734,0
94561,02683,36177,11942,39331629,303326
94565,02683,84437,27834,50639515,78004
32320,02710,2746,1615,4931540,0
32328,02710,945,480,2254022,14629676
54113,02764,3325,1263,4488252,453353
54130,02764,16899,7269,20357777,479890
54136,02764,6406,2845,5356067,403643
54140,02764,8533,3580,8204898,533784
54169,02764,2475,932,5098007,132389
54911,02764,26674,11572,21470417,797972
54913,02764,10880,4530,28226905,0
54914,02764,30200,13761,40855252,239727
54915,02764,41772,16468,37075459,843322
54942,02764,6419,2293,16965518,4221
54944,02764,98,34,110019,0
54952,02764,24940,11196,30206797,909241
54956,02764,37533,16414,50359532,866545
43028,02773,4835,2492,12287755,2044219
43050,02773,0,0,602,0
35016,02791,7933,3602,21282651,301955
35175,02791,8,3,15432,0
35976,02791,71,30,382305,0
95912,02825,2652,812,1871304,0
14009,02845,2575,1248,4688793,0
14030,02845,21,9,23612,0
14065,02845,154,67,623933,0
14173,02845,298,146,778144,0
71001,02899,2894,1188,7120154,0
54612,02901,2993,1235,5461020,0
34266,02912,17270,7282,25875566,15770
34268,02912,220,74,356041,0
95519,02926,14386,6209,23928515,95560
95521,02926,17522,7825,17701950,217139
95524,02926,456,199,1003995,0
43502,02953,4353,1879,9004535,35955
43553,02953,252,94,389268,0
43567,02953,155,73,383837,1964
27527,02965,11370,3991,43839298,246437
27576,02965,71,24,220916,0
27591,02965,1253,439,6128845,18836
27597,02965,594,253,2392403,0
61910,02980,2874,1122,3492687,44848
73401,03007,20888,9566,30232622,76559
00612,03034,51209,24090,66991500,117333
00617,03034,2142,1044,2178928,30207
00627,03034,26477,10928,47188081,23979
00659,03034,36329,15023,60762985,142914
00678,03034,23013,9566,36590304,1087036
85123,03088,10410,4901,11559147,186302
85193,03088,121,167,531459,0
71923,03115,9464,4041,14755848,0
71998,03115,321,16,93590,0
71999,03115,706,0,159776,0
67005,03142,13026,5906,24957567,138014
38002,03158,11059,3580,19005822,88141
38036,03158,436,179,1009022,0
38049,03158,7,1,147808,0
93401,03196,0,0,24684,0
93405,03196,88,44,1928741,0
93420,03196,22533,9921,34396718,2021
93424,03196,1009,780,2746240,45161
93433,03196,13162,5749,5603498,11431
93444,03196,491,342,1154592,0
93445,03196,7128,3010,4841969,68292
93449,03196,7589,5552,8921791,108200
88210,03223,12764,5269,16912665,16979
93203,03250,19568,4539,9901992,0
93307,03250,5,3,1302970,0
31714,03277,3819,1746,6913187,91658
31790,03277,670,194,1272723,12842
71822,03304,3983,1812,8804601,0
71865,03304,163,83,459136,0
27203,03331,19940,9006,32717704,28031
27205,03331,9579,4016,28040388,102790
27317,03331,8111,3457,23912385,66755
27350,03331,162,68,615789,0
28701,03358,893,365,3474866,0
28704,03358,17376,7889,40783619,1607436
28711,03358,9720,4767,20647479,48075
28715,03358,16288,7351,49458471,377822
28716,03358,8625,4075,22895404,16069
28721,03358,4636,2281,10966902,0
28726,03358,3200,1470,5935217,19385
28729,03358,2219,1089,5897882,35259
28730,03358,3361,1401,14448808,0
28731,03358,4351,2327,22453230,233533
28732,03358,12416,5399,44680111,295207
28739,03358,13508,7674,37146626,414097
28742,03358,873,383,3900178,29272
28745,03358,545,683,1558390,601901
28748,03358,2966,1244,12487247,0
28753,03358,0,0,304,0
28754,03358,1948,596,4159664,0
28757,03358,151,188,402241,0
28759,03358,2834,1305,16074415,170543
28762,03358,0,0,6470,0
28768,03358,165,67,618746,0
28778,03358,7850,3178,23235119,121787
28785,03358,802,511,2736801,0
28786,03358,11698,6394,24716059,206889
28787,03358,9312,4162,28190944,21518
28790,03358,188,118,870591,0
28791,03358,14118,7160,42060622,267085
28792,03358,20366,10290,56169013,416363
28801,03358,15019,7460,13162694,246471
28803,03358,25680,13338,39771892,66567
28804,03358,17838,8226,38006084,567184
28805,03358,14848,7891,30909194,19399
28806,03358,36854,17211,68201940,515581
65010,03365,3527,1466,4711779,0
65039,03365,0,0,325,0
68003,03375,2631,1128,3232692,66446
44805,03385,20226,8847,20691008,49269
17921,03395,5082,2020,11815557,0
17935,03395,1640,889,1245864,0
17936,03395,736,350,882185,0
17943,03395,185,90,484032,0
17945,03395,177,97,217274,0
54806,03412,7293,3452,11230636,0
37015,03439,3384,1501,8110549,0
44004,03466,28553,14030,54987529,385368
44041,03466,790,801,1328168,18894
44048,03466,3,1,6995,0
43103,03493,6168,2533,14110910,294356
43113,03493,54,32,197063,0
81611,03520,7710,6459,11852099,0
97103,03547,9914,5007,13716431,1161883
97121,03547,1045,487,1558975,0
97146,03547,3156,1413,8283161,478133
64484,03601,22,13,134890,24450
66002,03601,11144,4476,15561286,136285
35611,03655,14907,7002,31099718,240264
35613,03655,7180,2848,28109779,236143
35614,03655,2257,941,9451019,22055
35620,03655,491,184,1198035,2846
35749,03655,121,45,141387,0
45701,03682,25137,8094,21753507,249913
45780,03682,3149,1519,3984791,10432
37303,03709,14166,6579,32420514,0
37329,03709,740,314,3120596,0
37370,03709,658,259,1785311,0
37826,03709,421,224,1148941,0
75751,03736,11616,4664,21666257,64683
75752,03736,553,227,2057586,0
30601,03763,19562,9113,31179145,237383
30602,03763,2409,1,1853033,26025
30605,03763,37823,16786,54216099,656124
30606,03763,38692,18443,64132479,783191
30607,03763,7392,2600,21653095,179688
30609,03763,1956,0,60531,0
30621,03763,129,41,233626,0
30622,03763,5827,2657,30400842,236431
30646,03763,2265,950,8227478,36039
30666,03763,257,88,1068830,0
30677,03763,9643,3625,30135453,261126
30683,03763,2799,1208,11680587,165084
01331,03790,7985,3710,11543327,920074
01364,03790,4849,2217,12674447,140046
30002,03817,5861,2954,4392655,34982
30004,03817,49414,18889,108901999,1374442
30005,03817,34442,12397,37517959,1075245
30008,03817,29822,10922,24467923,27393
30009,03817,13722,6408,24858412,212040
30011,03817,11285,4031,35283917,267127
30012,03817,21891,8530,36867803,714338
30013,03817,23457,9510,48015888,708343
30014,03817,20648,8485,56038887,829765
30016,03817,43668,16006,110725209,873345
30017,03817,20160,7144,30977758,538174
30019,03817,37974,12476,79715485,468096
30021,03817,21989,8963,9160340,40492
30022,03817,64359,24607,65879461,882034
30024,03817,64614,21682,110203286,1832329
30028,03817,14755,5189,57014553,1282791
30030,03817,26473,13327,16865049,13960
30032,03817,47222,20467,35305648,78605
30033,03817,30763,14786,23921835,98232
30034,03817,43113,18209,43902603,606947
30035,03817,20396,8694,22151468,140387
30038,03817,35905,15775,55310662,726329
30039,03817,41287,14617,62146967,1120103
30040,03817,51538,18627,120998886,1135868
30041,03817,49150,18304,112791082,5466707
30043,03817,80241,27767,84251106,1006024
30044,03817,79701,27851,63418406,511229
30045,03817,33834,11037,52634120,863715
30046,03817,34523,13171,40571712,312831
30047,03817,59660,21153,71773626,935367
30052,03817,50983,18338,133178292,1326136
30054,03817,2902,913,5842559,12862
30058,03817,52523,21074,67722661,1358783
30060,03817,34562,14338,42337178,338581
30062,03817,62136,24275,66841137,743478
30064,03817,46076,18704,82513745,498065
30066,03817,52936,20730,70562915,697868
30067,03817,45182,22586,38344887,708658
30068,03817,31595,12628,37119955,1069086
30070,03817,342,181,160149,0
30071,03817,23005,8121,30949118,116341
30072,03817,730,425,529078,43791
30075,03817,52573,20753,77240837,2167748
30076,03817,42678,17373,40325186,1194705
30078,03817,33057,12190,43957298,657067
30079,03817,2960,1346,3309688,18701
30080,03817,49905,26571,35280488,175244
30082,03817,25905,11929,27147332,226696
30083,03817,50384,21620,43952991,1377864
30084,03817,35921,15049,39519992,288159
30087,03817,36761,14385,60453782,1736840
30088,03817,25257,10462,20117617,183884
30092,03817,31704,13869,28400796,479841
30093,03817,53351,19478,30891555,506720
30094,03817,28845,11129,71962504,1132634
30096,03817,62265,26268,59258058,1083488
30097,03817,41715,15168,58213654,1261299
30101,03817,52344,18949,88477572,2087888
30102,03817,36762,13783,65314881,2048545
30106,03817,20300,8684,32103491,76276
30107,03817,983,336,3496969,5473
30114,03817,40462,15488,87079109,2130905
30115,03817,27604,9996,80592299,667871
30120,03817,19,5,373251,0
30121,03817,543,240,1473441,7559
30122,03817,20415,9071,38812116,157657
30126,03817,37088,15212,53637641,424000
30127,03817,60158,21563,130438808,1028598
30132,03817,22215,8350,51546656,300357
30134,03817,41198,15383,89651672,305227
30135,03817,54584,20201,107459532,348142
30141,03817,20515,7876,59849857,339790
30144,03817,52252,20357,58464478,543841
30152,03817,40393,15221,54529036,678680
30157,03817,38309,14006,100082701,831100
30168,03817,24206,10603,31887883,295284
30179,03817,5805,2296,16929238,161690
30180,03817,19989,8010,52800321,435901
30187,03817,1797,688,5328690,0
30188,03817,50830,20309,99811002,1034972
30189,03817,36859,13512,50368726,2155006
30213,03817,25241,10401,62436938,799619
30214,03817,24394,9712,78731854,1324495
30215,03817,23372,8594,57767241,1524803
30223,03817,20296,8578,37746231,399592
30224,03817,16144,6882,33876640,450194
30228,03817,30835,11391,59306497,873836
30233,03817,213,65,863053,0
30236,03817,45838,18696,68744544,2863012
30238,03817,34512,13130,39856795,368899
30248,03817,15620,5545,49522104,401373
30250,03817,679,19,695475,0
30252,03817,30601,10814,109461674,2002539
30253,03817,46742,18007,97163502,1122254
30260,03817,23244,9962,29187754,314827
30263,03817,34016,13962,95030714,1043735
30265,03817,28885,11422,65496159,1085953
30268,03817,5025,2185,14400544,49685
30269,03817,34128,13384,53457177,2223884
30273,03817,14709,5716,16893304,155596
30274,03817,31893,13148,27349189,154736
30276,03817,3659,1355,11063892,275443
30277,03817,15970,5793,51490724,740028
30281,03817,61889,24604,129360978,1391726
30284,03817,42,18,81362,0
30288,03817,8929,3343,20238627,117597
30289,03817,42,21,231285,0
30290,03817,7396,2683,33849474,1006096
30291,03817,20802,9542,29936225,328369
30292,03817,64,27,195137,1427
30294,03817,39865,14764,83549126,675540
30296,03817,25840,9803,27134531,420682
30297,03817,27188,10559,28422409,155020
30303,03817,5934,1749,2705518,0
30305,03817,22999,14125,16667801,72892
30306,03817,22246,12373,11370386,35043
30307,03817,18004,9348,11828687,13981
30308,03817,15413,11205,4130055,0
30309,03817,21845,16207,8852923,94188
30310,03817,26912,14349,22842592,19991
30311,03817,32218,15636,32193748,94141
30312,03817,19360,12007,8683550,0
30313,03817,9495,2856,2880070,0
30314,03817,22020,10614,12092212,0
30315,03817,33857,14791,29303430,42793
30316,03817,31110,15164,32428893,140556
30317,03817,11970,6269,9101610,96244
30318,03817,49736,25475,52742175,475017
30319,03817,38423,19500,26839643,310649
30322,03817,2023,0,1068100,2087
30324,03817,24267,15645,13628133,115188
30326,03817,4802,3928,1791714,0
30327,03817,22208,9929,43484137,757331
30328,03817,30348,16017,33429785,586326
30329,03817,28539,13149,14012097,134900
30331,03817,53826,24970,88218022,753760
30332,03817,2970,0,218051,0
