Urban Area GEOID,County GEOID,Population,Housing Units,Land Area,Water Area
14752,19113,177844,79099,216136838,1975562
14779,26081,3579,1326,4963935,170098
14806,13233,12502,4965,22408017,75977
14833,39057,4041,769,2705942,90026
14860,39107,11259,5304,11761380,100975
14887,48419,5234,2157,15048436,0
14914,19007,5380,2802,8685521,0
14968,31121,2821,1337,4366314,0
14995,21177,9943,4570,20128481,42647
15022,17027,3288,1444,4265896,0
15022,17121,13368,6609,21993107,114470
15022,17189,640,304,4290206,53979
15049,29019,3813,1669,4730658,0
15076,53041,29688,12809,53342399,541221
15076,53067,9829,3639,28430423,205014
15083,01019,3707,1944,26419773,6177642
15090,24035,4285,1694,6247941,0
15103,01053,551,287,1578761,0
15103,12033,2770,488,5838848,110910
15130,31045,5515,2380,4941384,0
15157,29201,2973,1342,3380745,4167
15184,42055,50887,22244,96785729,46082
15211,17019,145361,63984,121467169,376241
15238,40081,2704,1226,5642048,30544
15265,20133,9059,4141,13781449,27516
15292,35013,5062,1743,13107734,0
15292,35035,7266,2111,14645669,0
15319,39055,8028,3707,23310289,104608
15346,19117,3893,1912,5963855,0
15373,19067,7706,3761,10179281,175651
15400,17029,21810,8611,18992198,18802
15427,28135,2930,1199,4980968,20062
15454,29133,5893,1854,9491362,28401
15481,54039,140115,68800,218120987,14237919
15481,54079,13084,5728,36248529,4438640
15508,45015,126351,50205,165091822,3146772
15508,45019,312103,148036,458912505,25251770
15508,45035,109950,44353,135765262,760449
15535,18019,6921,2960,9050183,46671
15562,33019,2815,1251,6482496,0
15589,44009,2942,2629,10853168,113914
15600,54037,21019,8603,48078558,76989
15616,26029,4179,3200,11729118,12707
15643,26045,12682,5476,23090451,530838
15670,37025,13517,4399,19154991,0
15670,37035,224,154,1081370,536055
15670,37071,847,334,2469791,1186657
15670,37097,98991,42878,250454532,25795742
15670,37109,10714,4700,29326909,15486243
15670,37119,909830,394307,1167991254,43020418
15670,37179,146361,51155,315536371,3190944
15670,45057,14382,6377,35624456,228518
15670,45091,54576,22131,98815268,2188407
15724,51003,48884,20230,62984214,827780
15724,51540,43475,19189,26517362,13599
15751,51117,2666,1271,4974293,0
15769,27045,1402,623,1907761,0
15769,27109,1202,493,2145412,0
15805,12039,3375,1001,5493088,35495
15805,12063,2133,33,1151403,21869
15832,13047,45338,19254,104900844,273402
15832,13083,1786,442,6061478,0
15832,13295,31240,13980,80985096,5613
15832,47065,302742,136629,585374153,19593525
15832,47153,6,5,16831,0
15859,26031,4517,2222,9018213,192580
15886,40091,2572,1193,3259479,0
15913,53007,5704,3449,12634398,217520
15940,26161,5329,2588,10906830,133352
15967,53063,10569,4172,7986129,0
15994,45025,8160,3704,16307311,110596
16021,19035,4662,2294,4743748,0
16048,05135,3443,2177,17442455,1447841
16075,37045,266,120,965373,0
16075,37071,6074,2753,14157908,31600
16102,24003,677,307,3048058,0
16102,24009,23023,8922,62800905,413630
16140,45021,710,302,2309409,0
16140,45083,2293,1078,8442447,27531
16156,17157,8450,2127,12866488,31757
16171,36071,5691,2233,9360425,3420
16183,45023,9351,4233,17920094,12333
16210,24029,5537,2489,6629431,440592
16210,24035,1616,748,3584817,284293
16223,55005,2830,1618,7362868,469378
16237,56021,73588,33018,90991601,282336
16264,17031,5192322,2179408,2320027825,27196086
16264,17037,7208,2806,7991273,8159
16264,17043,916488,356022,796131422,19533486
16264,17063,12325,4139,18632911,49806
16264,17089,492315,173405,558348270,9986758
16264,17093,102781,35824,130723040,1308792
16264,17097,497900,181401,649407833,15639777
16264,17111,167579,60731,204670486,6144490
16264,17197,629798,218400,810663164,10677328
16264,18089,466166,197130,597703046,11367248
16264,18127,123326,49991,232387062,3737986
16291,40051,15739,7224,25939917,96542
16318,06007,98176,42052,89120274,137474
16372,48075,4707,2295,7010842,0
16426,29117,9633,4175,19545794,25837
16453,39141,32263,12763,44686001,377634
16480,55015,3590,1669,4802661,26546
16534,04001,3407,1090,8765093,35915
16561,04025,10783,4810,32180847,0
16588,12133,3846,1752,9706690,0
16615,27137,4622,2344,4112673,69308
16642,36053,5083,2084,5491629,4283
16696,06039,11843,4248,11818184,0
16777,17055,3610,1731,7414270,20724
16831,22001,4588,1937,6905878,0
16858,36037,1226,508,1848664,0
16858,36055,1908,807,3091222,11933
16885,18029,10225,3767,27220201,711640
16885,21015,103042,40052,179932192,314320
16885,21037,76518,34112,87929256,5126188
16885,21117,148500,64568,180213069,6430601
16885,39017,250243,99980,355956282,1325900
16885,39025,146452,60247,270226857,1572038
16885,39061,771847,364778,769446500,7788414
16885,39165,118000,43869,169313252,1482529
16912,39129,14965,6603,19008269,311115
16939,48133,3658,1703,6352142,0
17047,01021,5785,2539,17302027,47202
17074,26035,5490,2792,15373045,853914
17074,26073,107,44,654534,3186
17101,33019,9598,4659,13588842,38460
17128,40131,25164,10453,53906598,65492
17155,19145,5415,2113,6158800,0
17182,19197,2639,1256,3744028,0
17209,42031,9373,3927,17249462,263666
17236,54033,43498,20360,98792693,177755
17236,54049,395,187,786231,86789
17236,54091,95,34,247779,0
17263,28027,17783,7254,22014649,16607
17290,05071,7313,3048,17439018,137606
17317,21047,20346,5616,34921323,34422
17317,47125,138309,56602,248854992,456221
17344,48387,3121,1597,7246419,0
17371,13109,4259,1758,8191779,89847
17398,20027,4307,2146,5608574,0
17420,13241,3372,1624,10102295,7557
17452,42033,10903,5346,14572486,446978
17479,06033,15944,8553,18854601,10193
17506,19033,7944,5140,17482422,44401
17514,06033,2806,1601,7974633,4029
17524,53067,2611,1085,3409084,829947
17533,48251,35122,13562,45147075,257493
17560,53037,3539,2172,7795727,0
17625,13311,4399,2027,12496400,36054
17641,28011,15722,6392,21156134,0
17668,39007,114,63,198006,0
17668,39035,1272675,618654,1076066144,4334895
17668,39055,20818,8579,80291056,801618
17668,39085,215021,95212,337460948,7158425
17668,39093,75424,30363,152379123,552059
17668,39103,88549,35530,126640749,723197
17668,39133,28835,12423,62055745,2515720
17668,39153,79237,32164,164306171,713525
17695,40117,3128,1459,4020988,0
17722,47011,66333,27969,138174808,44583
17722,47107,444,213,3235662,75185
17749,48291,9256,3537,20250726,0
17749,48339,704,223,2906525,0
17776,12051,12833,4633,12052458,261977
17803,04011,4508,2226,8714839,85633
17830,48035,3421,1494,5624208,84331
17857,51005,5267,2659,9866946,124764
17857,51023,44,19,115209,0
17870,36069,6444,2800,11215930,0
17884,17039,8487,3918,11386640,11337
17911,18165,6425,3071,10018544,34109
17938,17195,3687,1791,7649938,2025762
17938,19045,28645,13080,35069047,1429334
17965,29083,8740,4332,14105179,185926
17992,37163,9538,4046,20686310,52000
18019,40039,8426,3506,9133610,0
18046,45059,11176,4663,23812166,100428
18100,55135,4481,2199,5845826,501362
18127,27017,12936,5570,24385877,585985
18154,45091,6513,2629,14308216,29347
18181,06097,9166,3652,8725843,0
18208,35009,41570,17193,58459442,239684
18235,39143,6039,2573,8428509,133708
18262,48059,3768,1653,7356481,0
18289,06019,12702,4398,15303218,79727
18316,72043,31387,12937,39531103,21919
18316,72133,6660,2512,8384308,22462
18343,36095,5618,2248,8170567,9387
18370,13023,6324,2397,11947968,185988
18383,72123,18941,8803,15566672,38406
18383,72133,3161,1438,4240427,11273
18397,56029,9338,4553,16441112,29888
18424,51195,3179,1419,6796323,45054
18451,16055,98378,42666,122348737,1670690
18478,20125,10109,4937,15870508,22286
18478,40105,800,386,1676677,0
18505,27093,1410,610,2722662,625211
18505,27171,2834,1142,5003865,0
18532,20193,5463,2465,7751897,0
18559,09003,67,30,326371,0
18559,09007,453,461,2801448,697774
18559,09011,8670,3357,30131214,33988
18559,09013,908,381,4558641,0
18586,27145,4324,1774,6329914,49551
18613,36079,3276,1507,7189686,113987
18667,26023,16876,6240,29846177,189918
18680,39107,4473,1833,4874361,4991
18694,48083,4310,2356,6475354,0
18712,06061,3144,1438,6283224,0
18721,53075,2720,1369,3343284,9475
18748,48041,171345,68363,184986507,343541
18760,40131,158,56,681679,0
18760,40143,4090,1772,6564394,14217
18775,51193,3693,2457,4588370,16206
18802,04015,5836,769,11706585,20502
18802,49053,2397,237,2161165,0
18829,48335,5948,1734,6834119,0
18856,08035,49,23,175021,0
18856,08041,559360,229689,486318239,985540
18883,21001,4579,1901,8744041,60603
18910,28091,7294,3106,16989091,65446
18937,29019,124748,53568,160085068,672925
18964,45039,54,18,96969,0
18964,45055,12564,4935,39754063,0
18964,45063,187518,81475,442530572,4133878
18964,45071,13,6,39502,0
18964,45079,349628,147043,501837863,11682682
18991,47119,34965,16072,64291449,0
19018,18183,9225,4113,15875483,55287
19045,30029,6029,2551,11777970,2697
19060,01117,2642,812,6983453,26580
19072,39029,7433,3573,14028259,668
19072,39099,668,329,1498338,177713
19099,01081,27065,10869,72132942,500583
19099,01113,34199,15945,61518407,240246
19099,13053,7941,1763,15742226,122219
19099,13145,166,58,541894,0
19099,13215,184231,80573,230914120,2326416
19126,18005,50912,22588,67024096,740617
19126,18081,3995,1703,3497484,0
19126,18145,26,11,57495,0
19153,20021,3272,1611,5177391,0
19180,28087,31174,13883,65921727,765029
19207,31141,22106,9306,20788738,453676
19234,39041,140573,53356,215526451,961532
19234,39045,47615,17534,63251785,72125
19234,39049,1145507,520064,982559907,17823625
19234,39089,28497,10968,49496709,220342
19234,39097,142,69,183771,0
19234,39129,2696,1105,5202856,25
19234,39159,3005,929,5870920,104368
19261,48089,4176,1884,7338603,26667
19288,55021,6551,2887,9831874,116115
19288,55027,72,31,137233,0
19315,28087,3140,1707,9602977,44916
19342,06011,6791,2622,5866401,0
19369,53065,4966,2321,11912942,0
19396,48093,3988,1769,6373439,0
19423,48259,2235,858,3900985,0
19423,48265,418,116,1329186,2339
19450,13011,273,96,2157221,0
19450,13157,6351,2734,14312547,44355
19477,48231,7717,3435,9254960,57264
19504,06001,116561,41938,92007102,406592
19504,06013,499407,202643,435703725,635440
19531,33013,42611,18930,88355264,4734971
19558,37025,130034,53422,263168904,1082208
19558,37057,160,86,396026,1352
19558,37159,84687,36656,203165413,208468
19585,20029,5340,2513,6465251,0
19597,36051,4858,2911,10304783,6314105
19612,39007,14109,6257,39024769,67381
19666,53021,4076,883,7019024,0
19693,18041,15347,7190,22580931,0
19720,30073,2578,1271,3235943,0
19755,48339,239938,92663,345296754,2550071
19774,26149,4074,1762,8376129,219381
19801,05045,65277,27398,102818442,2507413
19828,47141,44016,19399,114499907,246303
19828,47185,191,81,473773,0
19882,04021,10919,4386,10913970,3497
19909,26139,3951,1611,5068827,805
19936,41011,31386,14685,42682802,4903511
19990,41011,4359,2035,9259249,84422
20044,06031,25516,4168,16859416,0
20044,06107,0,0,109887,0
20071,13081,12416,5494,19477045,52410
20098,28003,12469,6095,31030167,847
20125,36091,3098,1361,4611993,203164
20125,36113,897,578,2617092,133378
20152,13011,829,313,1943858,1385
20152,13137,17749,6469,48608762,197575
20179,05021,3180,1511,5426404,67408
20206,06103,8553,3150,10011883,0
20233,36101,20477,9629,26191923,284595
20247,04019,5469,2087,11096708,0
20287,48355,303181,124292,293370862,11797883
20287,48409,16888,6566,18157892,432150
20314,42049,6113,2636,9434712,3552
20314,42123,458,204,949930,0
20341,48349,22599,9024,32732100,228609
20368,08083,8380,3781,9510796,70393
20395,36023,27493,11001,27633286,121157
20422,41003,62433,26689,54685518,210755
20449,18061,5506,2491,9511161,0
20476,39031,11517,5613,13563756,110801
20503,41039,11007,4746,13711821,176569
20530,22009,3631,808,4772322,0
20584,06089,4419,1731,8772172,0
20595,04025,26650,12874,37644560,0
20611,48283,3694,1657,4997331,1988
20632,24037,2603,833,8662283,3934
20665,18045,2625,1192,2873694,0
20692,39109,2727,1212,3211654,0
20719,47167,8578,3558,17164096,0
20746,51005,2469,1173,6663512,76444
20746,51580,5961,3067,14162254,367619
20773,36039,6341,1819,10315180,0
20800,31047,3863,1827,4718359,0
20827,08081,10021,4272,14724778,0
20854,48103,3907,1442,3459959,0
20881,18107,18012,8067,30948603,87707
20890,12129,8342,3354,24766569,0
20908,06015,18976,6690,30762111,158239
20935,12107,2812,1689,12672120,75516
20962,19089,3540,1706,4274584,0
20980,42013,102,47,204420,0
20980,42021,11004,3237,24112784,103688
21016,19175,7617,3655,10214799,3759
21043,12091,32432,13454,61039441,1309676
21070,41039,6320,2564,9308198,53213
21097,31151,6948,2383,6527069,36116
21124,51135,4323,1247,7211279,36275
21151,24039,3600,1928,5655938,50579
21178,21081,4143,1570,8360748,59115
21178,21117,78,28,214563,0
21205,48225,6292,2780,14732310,0
21220,12105,4335,1961,9592431,636962
21232,27119,7964,3274,10500309,0
21259,39115,135,63,312014,0
21259,39119,744,338,614146,232
21259,39127,3987,1688,6143504,36646
21286,27035,3478,1954,5569124,4451016
21313,12029,3773,1148,8999598,0
21340,05003,7835,3700,20653913,455585
21394,47035,16337,8038,54853057,2891771
21421,22001,14908,6472,17790621,24156
21448,51003,5527,2215,9035806,58439
21502,48507,7236,2586,8377340,2850
21529,12017,4388,2783,12506860,98726
21556,28029,5269,2088,10302907,0
21583,29055,3273,1518,5362565,0
21610,48123,8099,2933,13841912,0
21637,01043,18356,8466,57622060,840753
21664,37099,10837,4239,20222474,0
21691,51047,17778,6984,19619776,55255
21718,21095,3711,1903,6064703,84886
21745,24001,49619,21996,80537195,622534
21745,42009,31,20,140170,0
21745,54057,2249,1127,3834115,23547
21760,42033,2751,1288,3997484,77147
21772,40081,0,0,659562,0
21772,40119,6742,3308,10751072,4680
21799,30035,2878,1443,2654206,0
21826,13243,3811,1870,6077439,13393
21853,21097,6421,2986,7253796,126159
21928,24017,495,187,1566534,120680
21928,51099,3020,1273,15154281,292873
21934,13187,4812,1581,10686391,22520
21961,48067,2185,914,6149237,0
21961,48343,2791,1173,7725240,13203
21988,48111,5125,2121,5720534,3934
21988,48205,2591,1096,2547267,785
22015,41053,15340,6431,13783467,0
22042,48085,560270,220151,487381062,6474401
22042,48113,2313093,922894,1753453996,32636536
22042,48121,260249,101227,241864040,4969336
22042,48139,83514,30251,193244722,532815
22042,48251,44338,16585,92592531,211680
22042,48257,2534,824,1895421,4969
22042,48367,6934,2740,21541221,0
22042,48397,65775,23601,98793021,15494715
22042,48439,1785185,704957,1717170438,33774072
22069,13047,635,282,2278597,0
22069,13213,11838,4754,43558669,56779
22069,13313,72766,27891,163494350,141215
22079,39169,2595,1119,5692786,150967
22096,09001,139760,54436,258980043,8148530
22096,09005,21563,9090,65413045,856142
22096,36079,6813,2237,16602087,930874
22110,47089,4959,2093,22736661,0
22177,36051,5141,2389,8508520,0
22204,17183,50996,22818,77200813,2020818
22231,21021,18532,8176,37456211,168940
22231,21137,355,161,1060138,3034
22253,37033,191,94,518715,0
22253,51143,8042,3570,36922749,200514
22253,51590,41111,21450,70539131,982033
22285,01003,57383,26465,143085068,602069
22301,39049,2154,931,9137443,309062
22301,39129,4041,171,7118583,81588
22312,13191,3682,1845,8007084,127436
22366,17073,5716,2320,11125640,529614
22366,17161,131434,58974,179112448,13635462
22366,19163,142901,62665,167768476,6931075
22393,31023,2879,1265,3371017,4954
22420,06095,0,1,218210,0
22420,06113,72794,27613,36343529,82074
22427,40099,2591,1216,4144108,6201
22435,17141,2631,886,5662884,0
22447,13273,4466,1871,5673294,0
22501,32019,10832,4443,15232272,3839
22501,32029,295,126,970859,0
22528,39023,20423,8652,31162959,211476
22528,39057,126084,54679,171820201,481093
22528,39109,47105,20550,62106305,892847
22528,39113,501602,240581,582857271,3606024
22528,39165,28877,10615,62278726,47928
22555,47143,10174,4148,23522412,601114
22582,48291,12075,3286,27859212,206249
22609,53013,2681,1275,3721274,0
22690,01079,72,28,313309,3076
22690,01103,70364,30440,150651596,3863756
22717,17115,93863,43304,153326154,7919292
22744,18001,10440,4838,17743672,52005
22771,48497,5910,2391,13076491,0
22798,19191,8637,3318,13403485,47090
22825,30077,3217,1593,3807797,0
22852,53063,3463,1436,4988439,0
22864,48339,3797,1074,7010046,20270
22879,39039,18306,8117,35070981,1280545
22933,12131,5812,2923,17629303,691086
22960,17037,68545,26772,66787373,690435
22987,06029,54372,11008,25684847,0
22995,27171,5255,1994,7684902,0
23041,55127,12158,5770,20055302,568029
23095,22083,2770,1143,4506344,0
23102,36025,2953,732,3545394,42647
23122,46099,3584,1476,3767406,0
23149,18015,3008,1348,4239339,38981
23176,39003,4002,1767,4047653,1791
23176,39137,22,6,103719,946
23176,39161,3416,1489,6669484,32099
23203,48465,43914,15531,50267510,190096
23230,08029,7849,3384,14715468,106432
23257,39051,3158,1310,4444526,1933
23284,49027,3258,1210,4966387,0
23311,12127,182169,79045,249828736,9704973
23338,35029,14903,6224,21486485,0
23365,01091,6452,2929,13114047,112164
23392,18073,4652,1934,9233480,591
23419,19047,8240,2940,11170044,15184
23446,45009,3781,1600,7027466,0
23473,24011,4771,1922,11783102,123582
23500,48113,38746,14438,37317771,762078
23500,48121,327216,125724,336696270,6539884
23500,48439,212,118,2007214,1083
23513,48121,3307,1569,10510403,48330
23527,08001,425615,157039,364005851,9185559
23527,08005,562992,234864,396190555,7313350
23527,08013,56,29,807650,0
23527,08014,52460,21044,50049963,655226
23527,08031,600158,285797,282876587,4194196
23527,08035,247546,91854,252654680,360654
23527,08059,484123,206942,380838431,13395977
23527,08123,1253,411,2565001,0
23554,48501,4938,1803,6702728,0
23608,05133,6209,2115,10867307,35635
23635,22011,921,0,465759,0
23635,22019,4096,1846,12010206,0
23662,22011,11025,4862,34674767,200872
23662,22115,2316,938,8036155,49531
23689,05017,2809,1135,5036926,0
23689,05043,7,5,28008,0
23716,06065,39445,18247,42723729,248358
23743,19049,35109,14265,42111919,72225
23743,19153,406100,173145,468556922,4265242
23743,19181,8861,3485,8861320,0
23770,20091,4701,1798,9816836,133424
23797,29099,7203,3257,10501930,332964
23824,26087,71,20,230203,0
23824,26093,10014,3740,30527477,2008958
23824,26099,811250,345103,685529354,7136874
23824,26115,9266,3895,26311772,686126
23824,26125,1116708,493259,1364208732,72250441
23824,26147,14373,7008,28047743,202171
23824,26161,92,38,348867,0
23824,26163,1772316,800053,1328030602,9533109
23851,27005,7973,4287,14943764,12375976
23878,38071,7444,3586,8418653,14837
23905,48325,5798,2254,11311543,35576
23959,05001,3185,1494,5676712,0
23986,19045,4639,2016,5490647,0
24013,29207,9053,4192,15101939,31365
24040,28045,7855,4069,13880582,139060
24067,48005,4461,1421,7789898,104749
24094,38089,17586,7761,19570088,28980
24121,47043,16016,7004,44561874,153621
24148,48163,3938,1137,5150893,0
24175,30001,4609,2147,5852368,0
24202,45033,9777,4160,18560884,46676
24229,48069,4373,1656,5159885,105987
24256,06013,14044,5652,12203013,1273394
24283,06095,18445,6209,16113159,6654
24310,17103,16858,6792,25525626,938053
24329,27039,2641,1048,3988715,0
24337,20057,27316,9290,27889363,272373
24364,55049,4756,2123,7905999,0
24391,22005,9183,3497,14985567,160133
24391,22007,4500,1786,12334038,0
24391,22093,888,352,13996379,2354869
24418,13253,2745,1222,7603903,120109
24433,26005,4702,1600,14211297,27483
24445,06047,6713,2228,5505584,0
24472,01045,2561,1151,6366864,17184
24472,01061,121,54,217078,0
24472,01069,66099,29476,137162743,291498
24499,04003,17673,6450,14698123,0
24526,13069,14154,6006,31068791,542642
24539,26005,2570,2102,7320802,130134
24553,56009,6175,2803,8339244,23518
24580,10001,108113,43120,188930541,2277525
24580,10003,2656,24,2804439,0
24607,23031,7825,3328,19405548,760571
24607,33017,80262,33138,152634102,4765559
24634,26027,6082,2772,9032424,88865
24646,17113,2666,948,5617269,2268
24688,36109,3882,1621,10239057,49577
24715,13175,20999,9212,58123883,543835
24769,48143,3543,1508,5680903,0
24796,42033,10944,5152,16528212,135611
24796,42065,954,445,1073850,4118
24823,17085,3051,1364,9022068,222161
24823,19061,64767,27660,78493872,644795
24850,27137,93333,41238,145275587,14306133
24850,55031,27045,12299,37259192,8308386
24877,05041,5023,2254,7912215,0
24904,48341,14836,5410,14666215,0
24931,40137,21301,9979,30435534,154753
24958,26115,3799,1684,6428798,90764
24985,18009,145,69,117013,0
24985,18075,3419,1652,5233678,0
25012,36013,25514,11139,36310826,34715
25025,47153,3691,1571,11348382,0
25039,37085,14823,6856,29043594,36812
25093,17145,6467,3105,11645222,183007
25120,26155,4854,2192,8420444,14006
25147,08067,17982,8369,24173578,84916
25174,28051,2525,1112,3806316,0
25201,40013,16402,7329,26250955,36886
25228,37037,5184,2482,10616558,42273
25228,37063,251333,113042,346514346,3021649
25228,37135,91085,37053,113528639,875903
25228,37183,0,0,52200,0
25255,17105,5353,1860,8758850,0
25282,47053,3248,1483,6662278,0
25309,47045,21903,9751,42503972,263973
25336,19055,36,13,88656,0
25336,19061,3584,1652,6617095,0
25363,04001,6095,2617,16109273,11197
25390,08037,6073,2253,6360405,43642
25417,19197,3076,1379,3574241,0
25444,48089,3628,1508,5503889,11322
25480,49049,6277,1564,4943098,0
25498,48323,49236,15814,51649313,642196
25579,06107,13211,3277,13034358,0
25598,36029,9841,4223,22223670,61411
25660,48133,3711,1690,4237237,0
25687,39029,23478,11053,47207349,469806
25687,42007,3448,1798,9153007,521013
25687,54029,4638,2297,6563636,2066904
25714,13091,6053,2689,14614106,135191
25741,24041,17132,8013,24859236,208685
25768,39029,4944,2224,8441640,0
25795,29133,3770,1675,5251722,0
25802,42133,2575,1010,6257378,0
25813,06063,2674,1287,5782941,0
25849,34041,249,99,1219212,888
25849,42089,54067,21737,133719810,1260259
25876,26069,4372,2631,8157586,0
25903,55127,4306,1814,6312021,0
25930,08123,4392,1717,3895626,0
25957,39135,8112,3763,10133294,19264
25984,26045,5408,2458,10332974,310140
26011,13237,3889,1753,8601083,0
26024,53053,2801,1117,4075185,12409
26038,55017,26826,11730,80407243,3803146
26038,55035,76026,32800,98299173,8535130
26065,42021,4914,2361,7359603,93310
26092,37157,17187,8570,46341349,395964
26119,37041,4790,2389,7936084,175550
26146,45037,4562,1137,7071169,47295
26173,55025,143,58,505996,0
26173,55105,7065,3311,12847097,485616
26200,35049,3307,1376,13368979,0
26200,35057,199,89,606549,0
26227,42049,7263,2716,7241989,192444
26254,48239,5374,2452,8724327,0
26275,08037,17326,8473,22013516,404194
26308,17049,13800,6238,22174555,75128
26345,02090,2944,1019,16135594,607765
26362,13105,5925,2925,13551362,42632
26389,48481,11719,4498,16203722,19546
26416,06025,107672,33162,77688228,45516
26443,29131,4555,2229,6893333,0
26470,05139,18944,8830,39270145,0
26497,17165,4572,2265,9457388,38721
26524,20015,14724,5997,23430674,11949
26551,35049,4372,2190,18915069,0
26578,29039,3454,1852,4952838,2869
26632,48485,2746,1397,4290212,0
26659,48021,7785,2800,9512222,0
26659,48453,2258,764,2824109,0
26686,37029,45,32,58474,0
26686,37139,23860,10226,43914533,785
26713,37017,3085,1581,6502250,0
26750,21093,69434,28648,140033056,1289872
26750,21163,4033,1899,7488226,22200
26767,40009,10855,5014,16698709,0
26794,18039,142692,58214,234233443,7546435
26794,26027,900,417,3693332,0
26821,55127,12484,4987,26634746,170181
26848,37171,3563,1738,9625774,57211
26848,37193,603,294,2204832,0
26848,37197,2355,1174,5410312,11305
26875,54083,11061,5164,15852775,0
26902,32007,18948,7420,26573035,0
26912,27139,3908,1240,5913835,0
26956,51165,3657,1703,8152085,53064
26983,53037,20987,8933,22928598,9305
27010,36111,6577,2566,8236593,12509
27037,13123,3496,1613,13119064,0
27064,20053,2982,1075,3388786,0
27070,23009,2805,1431,7225150,90161
27076,55093,2823,1247,5951158,728
27085,42007,3479,1566,7714772,197876
27085,42073,9527,4567,8282529,299893
27118,36015,67352,29240,94575446,1264564
27118,36101,631,267,3322607,81830
27172,17095,659,301,1626173,0
27172,17143,2001,844,2984222,0
27199,04021,6963,2528,7957273,7374
27226,17113,0,0,155114,0
27226,17203,2776,1101,3988261,0
27253,35013,30712,9176,44067757,732993
27253,48141,772374,261055,604907550,2642348
27261,06079,65088,25479,81440798,754256
27280,40017,15069,5966,18477120,2157
27290,48021,1905,517,3621525,0
27290,48453,1803,532,7678160,0
27300,42011,2390,911,4756483,388
27300,42029,1240,579,2263746,28807
27300,42071,67,33,319580,0
27307,18095,9282,4409,13219338,0
27307,18159,139,56,232836,0
27334,27137,3459,2020,7012936,13787
27361,32033,4681,2331,6594766,0
27372,72095,9231,4129,14250802,3536
27380,48073,13,4,5808,0
27380,48423,3169,1712,11376266,333364
27442,19147,3628,1715,4856533,0
27469,16045,9192,3995,14632500,98279
27496,24021,3937,1244,6343129,20221
27496,42001,2429,920,7040451,0
27523,20111,24830,11323,28720165,507161
27550,51081,1590,580,4238603,17697
27550,51595,5553,2410,10712714,18411
27577,42023,2677,1431,3532995,218923
27592,37083,2672,1189,3435502,0
27604,05085,2762,1246,3945811,0
27631,40047,47609,21075,62145767,31297
27658,48139,18258,6518,25260753,237631
27685,01031,26375,11555,55681252,151495
27685,01045,10052,4308,37162815,0
27712,49039,5781,1636,5693535,0
27739,53025,6956,2840,7519009,0
27750,33015,3490,1291,11646710,0
27766,42049,196611,85558,213013051,364675
27793,47171,9788,4556,16815084,117653
27820,06077,7157,2619,5098787,0
27847,26041,20850,9981,46472987,282640
27874,35039,20218,8647,61253187,630621
27874,35049,6200,2721,12822676,3619
27885,06113,3277,1063,4226344,0
27901,41005,3838,1572,7365552,40488
27928,08069,7082,4885,19404083,49052
27955,19063,6192,2790,7461229,0
27991,04013,11108,4197,18874597,0
28009,47107,4129,2064,8903242,0
28063,20045,6140,2309,6497114,107100
28090,01005,8844,3993,17447656,256260
28090,13239,676,476,1842676,1225175
28117,41039,247421,108056,224689268,977485
28144,22001,747,286,3619230,0
28144,22039,0,0,69829,0
28144,22097,11193,4877,18195337,78619
28171,35025,2826,1222,2964060,0
28198,06023,45034,19912,47907805,4073307
28225,17203,5573,2129,6731726,124405
28252,20073,2591,1388,3821324,0
28262,29189,11260,3696,25454609,227
28306,56041,12017,4983,18144982,90192
28333,18129,1601,644,9826339,139087
28333,18163,163229,76397,214237643,2665068
28333,18173,35938,14282,47579367,172639
28333,21101,28583,13065,36160608,232445
28360,55105,5669,2313,7978930,0
28387,21095,2646,1074,3854362,217592
28414,42009,3220,1581,4965600,49315
28431,01035,2520,1213,5598797,9861
28441,08059,13556,5946,35196528,233879
28468,53073,4330,1474,7961669,122409
28495,29047,10428,4494,15720568,49022
28495,29177,515,219,2292543,87849
28522,48141,8042,2389,4336891,5386
28549,02090,64513,25869,142765014,4392468
28576,17105,3784,1636,3802368,0
28603,31095,3912,2133,5206041,0
28624,42059,4166,1960,9121939,16236
28657,06095,133683,46751,102208547,339058
28684,17191,5039,2654,7409991,57661
28711,19101,10320,4535,17839384,346137
28738,48161,3280,1424,11872141,0
28765,47035,5584,3833,16201850,1594777
28782,37049,2726,1703,5869005,362647
28819,50021,4181,1542,8711436,49035
28846,27091,9578,4703,16673568,4774135
28860,37155,2507,1179,4993626,0
28873,54049,32619,15708,66284187,2338517
28873,54091,790,367,1370184,0
28900,18053,2942,1342,3420634,0
28954,47187,6373,2342,16054678,52936
28981,72037,12021,5945,18783628,3426
28981,72053,36209,18657,44657057,205053
28981,72089,18289,10090,32877872,107752
28981,72103,18706,8590,35243666,38522
29008,48047,4929,2119,5320626,0
29035,32001,16241,7098,36707722,18327
29062,31147,4133,2127,4786180,0
29089,27027,42527,17113,44944656,23724
29089,38017,134149,61615,137047415,45644
29116,27131,23696,9099,29538392,596910
29143,48085,3138,1234,4979108,1708
29170,22111,3883,1644,12937852,0
29224,23007,3819,1601,5721866,20706
29251,29187,39370,15256,58976847,176975
29265,33017,2957,1268,3614292,0
29278,35045,53049,20250,90362046,588609
29305,37147,4815,2254,9169604,0
29332,51049,402,208,567551,1752
29332,51147,8597,2721,17282129,179030
29359,01057,3408,1591,7297500,0
29413,29089,2654,1072,4058634,13515
29440,37051,276729,117903,428401057,5434983
