ZCTA5,Place GEOID,Population,Housing Units,Land Area,Water Area
00741,7266492,4964,2190,3943750,6913
00745,7206421,1311,559,479500,0
00745,7233683,2055,848,1533733,0
00745,7240348,3081,1324,1708204,0
00745,7258666,1032,433,420202,0
00745,7271136,12677,5306,3372344,0
00751,7218891,5758,2353,4294141,13770
00751,7242197,865,357,981660,13686
00751,7244003,951,513,1378215,55
00751,7263503,553,319,330091,0
00751,7274877,4771,2326,2021336,2393
00751,7285111,1890,834,3159910,0
00754,7237166,1062,392,560406,0
00754,7277027,8037,3485,3504499,37028
00757,7225771,1478,616,413842,0
00757,7238241,1529,675,950717,57189
00757,7244089,1557,664,684095,3583
00757,7251055,73,34,148015,0
00757,7259440,941,382,1486064,11278
00757,7263568,1731,731,2313450,2510875
00757,7278145,5976,2563,2212600,4935
00765,7227190,1219,689,3278866,13584
00765,7286014,1938,1173,1503377,371391
00766,7286831,3384,1366,3094394,0
00767,7219837,1900,830,1618693,0
00767,7225685,1075,454,824120,0
00767,7251657,2232,946,2366294,0
00767,7263525,1558,614,1795974,0
00767,7272555,1055,443,1128230,0
00767,7287863,6047,2795,2982877,278
00769,7218719,11522,5011,4720208,1645
00769,7247013,2118,933,2041859,0
00769,7251055,2167,806,3703162,0
00769,7257978,1090,442,1528856,0
00771,7208099,1043,469,2826213,4990
00771,7240563,1057,472,1138721,399
00771,7244390,5883,2620,3012119,0
00771,7264500,1029,417,500342,0
00772,7246368,3875,1451,1337164,361609
00772,7280639,1931,794,425837,0
00772,7285971,3316,1693,890310,800
00773,7247787,7761,3556,2751357,1247689
00773,7263310,1690,888,1579089,603637
00773,7268771,1821,812,2837525,0
00775,7222589,1560,1028,2073792,153222
00777,7225556,1482,601,1303390,0
00777,7239574,7564,3523,3353466,36115
00777,7246626,66,24,55231,0
00777,7264500,281,106,157239,0
00778,7216440,4081,1547,1731916,9248
00778,7232823,7609,3304,3114752,8534
00778,7259386,1568,662,348344,0
00780,7203174,287,91,160445,0
00780,7217050,748,281,667589,8171
00780,7221213,3047,1204,953381,21683
00780,7259422,571,215,242671,0
00780,7263820,1340,555,2353959,22708
00782,7219665,4020,1625,1157065,28250
00782,7258967,1652,634,2241982,0
00783,7220783,10160,4118,5766055,0
00784,7220353,2131,959,1436131,1429
00784,7232221,22691,10254,9483932,29415
00784,7238671,2479,1141,1436039,0
00784,7257075,2064,899,756101,2148
00784,7264400,572,282,2358721,0
00791,7203196,1589,680,1148979,0
00791,7204701,1309,546,1675020,0
00791,7209250,1134,527,619465,0
00791,7212568,598,265,158056,0
00791,7212613,1215,536,995163,0
00791,7235532,18629,8554,12642084,15702
00791,7240563,1686,693,1395722,0
00791,7258602,2055,3403,7880817,172379
00791,7266492,0,0,80902,0
00794,7205690,2695,1161,1983225,0
00795,7201089,4747,1725,2323888,19577
00795,7213925,2530,840,1014607,5288
00795,7231877,2036,806,1257142,0
00795,7238972,7916,3348,3798545,43111
00795,7247615,2912,1282,1192477,0
00795,7261545,2901,1077,1502845,7391
00795,7264127,3092,1315,1318209,0
00795,7270706,1038,402,648763,0
00901,7276770,7080,4990,2534091,30548
00906,7276770,4,168,8247,0
00907,7276770,17458,13224,3132947,347421
00909,7276770,6230,3805,1575598,49304
00911,7276770,8623,6096,1245504,0
00912,7276770,6801,3884,854044,0
00913,7276770,9312,4065,843188,0
00915,7276770,32820,16538,3601480,820884
00917,7276770,21053,12348,3360017,46991
00918,7276770,18056,10850,5520556,101247
00920,7276770,17893,9322,7331380,135936
00921,7276770,37763,17728,6931388,0
00923,7276770,29086,13969,5283986,7303
00924,7214290,2348,1237,409938,0
00924,7276770,54343,23734,11733547,1620
00925,7276770,8696,5413,1158082,0
00926,7232522,360,161,201290,0
00926,7276770,83087,36744,31627432,111692
00926,7283606,5114,2047,3078671,20721
00927,7276770,14936,7893,6804165,5831
00934,7206593,121,61,1138421,25858
00934,7232522,167,79,802007,928
00936,7276770,681,4,417955,0
00949,7211581,6868,2662,1582888,0
00949,7212441,16128,6312,7584711,3695
00949,7212560,4818,2014,2620311,5814
00949,7215193,3416,1253,1004257,0
00949,7236263,5354,2097,1581087,0
00949,7245336,26839,11657,5925717,114531
00949,7274189,161,69,33089,0
00949,7276683,2900,1119,2962869,32804
00949,7282617,1510,666,1163332,49707
00952,7245336,121,44,37113,0
00952,7274189,9544,3993,2838120,0
00953,7212441,632,246,173733,0
00953,7229813,2585,929,1665663,1833
00953,7235403,2456,913,1715962,1965
00953,7255355,1561,591,843010,0
00953,7257806,10122,3619,3978867,0
00953,7282488,3713,1502,1623332,22059
00956,7206593,57023,24075,23114676,24838
00957,7206593,44341,17763,11182103,1407
00959,7206593,49365,21947,16348713,81790
00959,7232522,953,420,207531,0
00960,7206593,1779,0,2409664,2485
00961,7206593,32067,13257,13254272,184961
00961,7215193,362,137,113126,20509
00962,7215193,22491,8939,9876249,1152266
00965,7215193,1871,874,270750,0
00965,7232522,7263,2974,1418733,342594
00966,7206593,520,228,1124029,0
00966,7232522,15178,7087,6883186,4490
00966,7276770,978,579,393998,0
00968,7232522,3478,2228,1180763,0
00969,7206593,677,249,437671,0
00969,7232522,35862,15239,10725512,39797
00969,7276770,5680,2287,1459145,0
00971,7206593,103,66,20412,0
00971,7232522,10888,4804,6727153,51693
00971,7276770,49,30,95068,0
00976,7214290,1867,788,1078084,0
00976,7276770,1289,635,324575,85
00976,7283606,43323,17843,15703937,288121
00979,7214290,17030,12765,4061150,504754
00982,7214290,16428,7402,3654231,19111
00983,7214290,39234,16985,8987630,622892
00985,7214290,36473,15212,9342816,354829
00987,7214290,44441,18156,16980447,248816
01001,2500840,16769,7557,29635470,2229770
01002,2501360,10591,3277,11207692,39512
01002,2546295,4921,1934,5260997,3930
01002,2562675,4994,1571,10939863,63406
01003,2501360,8474,4,1588148,12788
01003,2546295,1898,1,254236,0
01005,2503705,1009,485,4097647,0
01007,2504790,2899,1243,13030680,5582
01008,2506050,393,174,2979217,5519
01009,2552144,741,341,2065002,23
01011,2513450,627,285,3612268,83916
01013,2513660,23188,10246,14503541,1518442
01013,2567000,0,0,63481,213468
01020,2513660,29659,13685,32305419,1178303
01020,2567000,9,3,2926,0
01022,2513660,2451,1209,12322151,2118
01027,2519370,16053,7615,34522770,711311
01030,2500840,11669,4582,30736637,469718
01033,2526500,1368,568,9000735,10249
01038,2529230,1318,627,6027512,220652
01040,2530840,39880,16384,55116741,4025645
01050,2531750,936,431,11994670,272677
01053,2546330,1685,636,13289904,251888
01057,2542180,2107,935,8688785,28657
01057,2552144,0,0,2421,0
01060,2546330,15284,7307,28276974,3261695
01062,2546330,11150,4784,47018995,396854
01063,2546330,430,1,100502,0
01069,2552144,8273,3737,71158547,653516
01071,2558615,786,328,5978834,19282
01079,2552144,692,325,2921898,108238
01080,2552144,2334,1093,4473453,258220
01082,2572845,6170,3011,16010048,351883
01083,2573055,1361,635,3272484,37745
01085,2576030,40407,16075,119875446,2753973
01086,2576030,687,0,96152,0
01089,2577890,28391,12697,43286505,2094117
01095,2552144,100,38,1165350,0
01095,2579705,3915,1502,14482899,162736
01103,2567000,2479,1661,1191989,205067
01104,2567000,22865,9381,13509560,212850
01105,2567000,12350,5586,3219040,306964
01106,2536335,15784,5948,23619285,1331605
01106,2567000,237,159,471281,0
01107,2567000,11611,4252,3903756,89142
01108,2567000,26688,10992,9643254,406401
01109,2567000,30250,10818,14094949,487865
01118,2567000,14071,5911,9312203,260877
01119,2567000,14152,5185,9194297,241739
01128,2567000,2631,1077,2892857,1287
01129,2567000,7019,2982,8867992,237886
01151,2567000,8698,3699,6134290,464565
01199,2567000,0,0,28277,0
01201,2553960,44737,21487,104814308,5169969
01220,2500590,5515,2974,5845258,80417
01225,2513310,514,257,993408,0
01230,2526780,2231,1240,3530430,120538
01230,2531295,425,209,1439050,222428
01236,2531295,684,362,855531,0
01238,2534620,2051,984,3430972,94418
01240,2534935,1675,1120,4682634,25159
01247,2546225,13708,6752,52690936,697430
01267,2579950,4325,1550,8790918,84257
01301,2527100,17456,8377,55496664,1180553
01331,2502515,8265,3811,21191850,715061
01342,2516635,643,173,4757441,82694
01344,2541410,353,155,790368,54703
01349,2541410,786,363,1575800,61891
01360,2547800,1089,600,11556549,45515
01364,2551230,4018,1677,15520355,174732
01366,2553085,243,126,3195125,0
01370,2561205,1731,902,6568778,211600
01373,2563620,1880,897,8162489,283028
01376,2570815,4470,2173,4939677,1012833
01420,2523875,40318,17117,72073649,745618
01420,2535075,19,11,6445212,1033257
01430,2562780,1062,415,7733318,29653
01432,2503040,2868,1523,3411144,162645
01432,2516840,45,30,4043868,0
01434,2503040,0,0,23552,0
01434,2516840,1795,121,12193845,232427
01436,2503355,1905,747,6471700,208900
01440,2525485,20228,9126,57192390,2443909
01450,2527445,1124,505,4330149,2141
01453,2535075,40740,17862,68184344,1200468
01460,2536020,2789,1229,9170393,423043
01462,2537385,1760,700,9835029,0
01463,2520310,2059,856,3667247,96197
01463,2552770,2504,1036,5330343,183917
01464,2516840,0,0,657544,0
01464,2561555,1441,709,3400526,43936
01468,2503355,123,71,173404,0
01469,2570325,1128,526,4383308,89834
01475,2580370,4213,1799,5866665,448323
01506,2509070,833,355,2984585,0
01507,2568120,0,0,470024,0
01510,2514430,7389,3607,3864897,7057
01515,2518595,1323,580,4131485,415931
01516,2518875,2557,1072,9084223,312441
01518,2523840,1967,872,6328822,59260
01521,2530630,1464,957,6871806,1587264
01523,2564460,1564,674,3099145,38800
01532,2546785,6167,2427,8509109,73262
01534,2579495,366,107,593068,0
01535,2547100,2265,1089,3821552,0
01540,2551790,6103,2454,8973306,576656
01543,2558790,2111,910,7642017,625011
01545,2582000,0,0,51399,129464
01550,2563345,16719,7527,52512755,1627401
01561,2564460,330,102,318701,0
01562,2566070,5700,2798,5463147,162237
01566,2523840,616,254,1769086,252697
01566,2568120,2253,899,13782870,195151
01568,2571445,3013,1261,6395920,207602
01570,2573930,11412,5479,7764020,122107
01581,2575050,4045,1842,4890155,43118
01583,2582000,50,18,27196,0
01585,2573055,44,17,27723,0
01585,2575365,1413,700,3272480,1311869
01588,2579495,6338,2506,8842855,1010474
01602,2582000,22819,9451,14936885,631588
01603,2582000,19916,7950,11691789,340396
01604,2582000,34586,15523,16494117,416365
01605,2582000,26221,11140,14612620,341309
01606,2582000,18949,8406,14473108,20904
01607,2582000,8250,3786,7944464,110923
01608,2582000,3888,1743,1159110,0
01609,2582000,22421,8307,9893464,56961
01610,2582000,23945,8321,5505953,9032
01701,2524960,31217,12590,43923156,1816225
01702,2524960,37101,14939,20925174,1972446
01730,2509875,11,4,99559,0
